Sqrt(A) (m),Rn,t (cm),Dmax (mm)
2,0.1,4,0.114
3,0.1,4,0.3
4,0.1,4,0.597
5,0.1,4,1.019
6,0.1,4,1.577
7,0.1,4,2.284
8,0.1,4,3.155
9,0.1,4,4.206
10,0.1,4,5.454
11,0.1,4,6.914
12,0.1,4,8.604
13,0.1,4,10.541
14,0.1,4,12.741
15,0.1,4,15.22
16,0.1,4,17.993
17,0.1,4,21.073
18,0.1,4,24.473
2,0.11,4,0.098
3,0.11,4,0.259
4,0.11,4,0.515
5,0.11,4,0.879
6,0.11,4,1.361
7,0.11,4,1.974
8,0.11,4,2.732
9,0.11,4,3.65
10,0.11,4,4.743
11,0.11,4,6.027
12,0.11,4,7.516
13,0.11,4,9.227
14,0.11,4,11.171
15,0.11,4,13.365
16,0.11,4,15.818
17,0.11,4,18.544
18,0.11,4,21.552
2,0.12,4,0.086
3,0.12,4,0.227
4,0.12,4,0.451
5,0.12,4,0.769
6,0.12,4,1.191
7,0.12,4,1.731
8,0.12,4,2.4
9,0.12,4,3.214
10,0.12,4,4.186
11,0.12,4,5.331
12,0.12,4,6.661
13,0.12,4,8.191
14,0.12,4,9.931
15,0.12,4,11.894
16,0.12,4,14.09
17,0.12,4,16.528
18,0.12,4,19.217
2,0.13,4,0.076
3,0.13,4,0.201
4,0.13,4,0.399
5,0.13,4,0.68
6,0.13,4,1.055
7,0.13,4,1.536
8,0.13,4,2.136
9,0.13,4,2.866
10,0.13,4,3.741
11,0.13,4,4.773
12,0.13,4,5.974
13,0.13,4,7.356
14,0.13,4,8.928
15,0.13,4,10.702
16,0.13,4,12.685
17,0.13,4,14.885
18,0.13,4,17.309
2,0.14,4,0.068
3,0.14,4,0.179
4,0.14,4,0.356
5,0.14,4,0.608
6,0.14,4,0.945
7,0.14,4,1.379
8,0.14,4,1.921
9,0.14,4,2.583
10,0.14,4,3.378
11,0.14,4,4.318
12,0.14,4,5.412
13,0.14,4,6.67
14,0.14,4,8.102
15,0.14,4,9.717
16,0.14,4,11.52
17,0.14,4,13.52
18,0.14,4,15.722
2,0.15,4,0.061
3,0.15,4,0.162
4,0.15,4,0.321
5,0.15,4,0.549
6,0.15,4,0.854
7,0.15,4,1.249
8,0.15,4,1.743
9,0.15,4,2.349
10,0.15,4,3.078
11,0.15,4,3.939
12,0.15,4,4.943
13,0.15,4,6.097
14,0.15,4,7.41
15,0.15,4,8.889
16,0.15,4,10.541
17,0.15,4,12.37
18,0.15,4,14.382
2,0.16,4,0.056
3,0.16,4,0.147
4,0.16,4,0.292
5,0.16,4,0.499
6,0.16,4,0.778
7,0.16,4,1.14
8,0.16,4,1.595
9,0.16,4,2.154
10,0.16,4,2.826
11,0.16,4,3.621
12,0.16,4,4.547
13,0.16,4,5.612
14,0.16,4,6.823
15,0.16,4,8.186
16,0.16,4,9.706
17,0.16,4,11.388
18,0.16,4,13.237
2,0.17,4,0.051
3,0.17,4,0.134
4,0.17,4,0.267
5,0.17,4,0.457
6,0.17,4,0.714
7,0.17,4,1.048
8,0.17,4,1.47
9,0.17,4,1.988
10,0.17,4,2.611
11,0.17,4,3.349
12,0.17,4,4.209
13,0.17,4,5.196
14,0.17,4,6.318
15,0.17,4,7.58
16,0.17,4,8.986
17,0.17,4,10.541
18,0.17,4,12.248
2,0.18,4,0.047
3,0.18,4,0.123
4,0.18,4,0.246
5,0.18,4,0.421
6,0.18,4,0.66
7,0.18,4,0.97
8,0.18,4,1.362
9,0.18,4,1.845
10,0.18,4,2.427
11,0.18,4,3.115
12,0.18,4,3.916
13,0.18,4,4.836
14,0.18,4,5.88
15,0.18,4,7.054
16,0.18,4,8.36
17,0.18,4,9.803
18,0.18,4,11.387
2,0.19,4,0.043
3,0.19,4,0.114
4,0.19,4,0.227
5,0.19,4,0.391
6,0.19,4,0.613
7,0.19,4,0.903
8,0.19,4,1.27
9,0.19,4,1.722
10,0.19,4,2.267
11,0.19,4,2.912
12,0.19,4,3.661
13,0.19,4,4.522
14,0.19,4,5.497
15,0.19,4,6.593
16,0.19,4,7.811
17,0.19,4,9.157
18,0.19,4,10.632
2,0.2,4,0.04
3,0.2,4,0.106
4,0.2,4,0.211
5,0.2,4,0.364
6,0.2,4,0.572
7,0.2,4,0.845
8,0.2,4,1.19
9,0.2,4,1.615
10,0.2,4,2.127
11,0.2,4,2.733
12,0.2,4,3.437
13,0.2,4,4.245
14,0.2,4,5.16
15,0.2,4,6.186
16,0.2,4,7.327
17,0.2,4,8.586
18,0.2,4,9.965
2,0.21,4,0.038
3,0.21,4,0.099
4,0.21,4,0.198
5,0.21,4,0.341
6,0.21,4,0.537
7,0.21,4,0.793
8,0.21,4,1.119
9,0.21,4,1.521
10,0.21,4,2.004
11,0.21,4,2.576
12,0.21,4,3.239
13,0.21,4,4
14,0.21,4,4.86
15,0.21,4,5.825
16,0.21,4,6.897
17,0.21,4,8.079
18,0.21,4,9.373
2,0.22,4,0.035
3,0.22,4,0.093
4,0.22,4,0.186
5,0.22,4,0.32
6,0.22,4,0.505
7,0.22,4,0.748
8,0.22,4,1.057
9,0.22,4,1.437
10,0.22,4,1.895
11,0.22,4,2.435
12,0.22,4,3.063
13,0.22,4,3.781
14,0.22,4,4.593
15,0.22,4,5.503
16,0.22,4,6.513
17,0.22,4,7.627
18,0.22,4,8.844
2,0.23,4,0.033
3,0.23,4,0.087
4,0.23,4,0.175
5,0.23,4,0.302
6,0.23,4,0.478
7,0.23,4,0.709
8,0.23,4,1.002
9,0.23,4,1.363
10,0.23,4,1.797
11,0.23,4,2.31
12,0.23,4,2.905
13,0.23,4,3.585
14,0.23,4,4.354
15,0.23,4,5.215
16,0.23,4,6.169
17,0.23,4,7.221
18,0.23,4,8.371
2,0.24,4,0.032
3,0.24,4,0.083
4,0.24,4,0.165
5,0.24,4,0.287
6,0.24,4,0.453
7,0.24,4,0.673
8,0.24,4,0.952
9,0.24,4,1.296
10,0.24,4,1.71
11,0.24,4,2.198
12,0.24,4,2.763
13,0.24,4,3.409
14,0.24,4,4.139
15,0.24,4,4.955
16,0.24,4,5.86
17,0.24,4,6.856
18,0.24,4,7.945
2,0.25,4,0.03
3,0.25,4,0.078
4,0.25,4,0.157
5,0.25,4,0.272
6,0.25,4,0.432
7,0.25,4,0.642
8,0.25,4,0.908
9,0.25,4,1.237
10,0.25,4,1.631
11,0.25,4,2.096
12,0.25,4,2.635
13,0.25,4,3.25
14,0.25,4,3.944
15,0.25,4,4.72
16,0.25,4,5.58
17,0.25,4,6.526
18,0.25,4,7.56
2,0.26,4,0.028
3,0.26,4,0.074
4,0.26,4,0.149
5,0.26,4,0.26
6,0.26,4,0.412
7,0.26,4,0.613
8,0.26,4,0.868
9,0.26,4,1.183
10,0.26,4,1.56
11,0.26,4,2.004
12,0.26,4,2.519
13,0.26,4,3.105
14,0.26,4,3.767
15,0.26,4,4.507
16,0.26,4,5.326
17,0.26,4,6.228
18,0.26,4,7.212
2,0.27,4,0.027
3,0.27,4,0.071
4,0.27,4,0.143
5,0.27,4,0.248
6,0.27,4,0.395
7,0.27,4,0.587
8,0.27,4,0.832
9,0.27,4,1.134
10,0.27,4,1.496
11,0.27,4,1.921
12,0.27,4,2.413
13,0.27,4,2.974
14,0.27,4,3.607
15,0.27,4,4.314
16,0.27,4,5.096
17,0.27,4,5.956
18,0.27,4,6.895
2,0.28,4,0.026
3,0.28,4,0.068
4,0.28,4,0.137
5,0.28,4,0.238
6,0.28,4,0.379
7,0.28,4,0.564
8,0.28,4,0.8
9,0.28,4,1.089
10,0.28,4,1.437
11,0.28,4,1.845
12,0.28,4,2.317
13,0.28,4,2.855
14,0.28,4,3.461
15,0.28,4,4.137
16,0.28,4,4.886
17,0.28,4,5.709
18,0.28,4,6.607
2,0.29,4,0.025
3,0.29,4,0.065
4,0.29,4,0.131
5,0.29,4,0.229
6,0.29,4,0.364
7,0.29,4,0.543
8,0.29,4,0.77
9,0.29,4,1.049
10,0.29,4,1.383
11,0.29,4,1.775
12,0.29,4,2.229
13,0.29,4,2.745
14,0.29,4,3.327
15,0.29,4,3.976
16,0.29,4,4.694
17,0.29,4,5.483
18,0.29,4,6.343
2,0.3,4,0.024
3,0.3,4,0.063
4,0.3,4,0.126
5,0.3,4,0.22
6,0.3,4,0.351
7,0.3,4,0.524
8,0.3,4,0.743
9,0.3,4,1.012
10,0.3,4,1.334
11,0.3,4,1.712
12,0.3,4,2.148
13,0.3,4,2.645
14,0.3,4,3.204
