Sqrt(A) (m),Rn,t (cm),Dmax (mm)
2,0.1,4,0.093
3,0.1,4,0.231
4,0.1,4,0.44
5,0.1,4,0.722
6,0.1,4,1.076
7,0.1,4,1.505
8,0.1,4,2.007
9,0.1,4,2.618
10,0.1,4,3.349
11,0.1,4,4.193
12,0.1,4,5.154
13,0.1,4,6.239
14,0.1,4,7.454
15,0.1,4,8.805
16,0.1,4,10.298
17,0.1,4,11.939
18,0.1,4,13.733
2,0.11,4,0.079
3,0.11,4,0.197
4,0.11,4,0.375
5,0.11,4,0.613
6,0.11,4,0.912
7,0.11,4,1.273
8,0.11,4,1.712
9,0.11,4,2.254
10,0.11,4,2.889
11,0.11,4,3.623
12,0.11,4,4.46
13,0.11,4,5.407
14,0.11,4,6.468
15,0.11,4,7.65
16,0.11,4,8.958
17,0.11,4,10.396
18,0.11,4,11.971
2,0.12,4,0.069
3,0.12,4,0.171
4,0.12,4,0.323
5,0.12,4,0.528
6,0.12,4,0.784
7,0.12,4,1.095
8,0.12,4,1.495
9,0.12,4,1.972
10,0.12,4,2.532
11,0.12,4,3.18
12,0.12,4,3.92
13,0.12,4,4.759
14,0.12,4,5.7
15,0.12,4,6.75
16,0.12,4,7.912
17,0.12,4,9.192
18,0.12,4,10.595
2,0.13,4,0.06
3,0.13,4,0.15
4,0.13,4,0.283
5,0.13,4,0.46
6,0.13,4,0.683
7,0.13,4,0.968
8,0.13,4,1.324
9,0.13,4,1.749
10,0.13,4,2.249
11,0.13,4,2.829
12,0.13,4,3.492
13,0.13,4,4.244
14,0.13,4,5.09
15,0.13,4,6.033
16,0.13,4,7.079
17,0.13,4,8.232
18,0.13,4,9.496
2,0.14,4,0.053
3,0.14,4,0.132
4,0.14,4,0.25
5,0.14,4,0.406
6,0.14,4,0.604
7,0.14,4,0.865
8,0.14,4,1.186
9,0.14,4,1.569
10,0.14,4,2.021
11,0.14,4,2.545
12,0.14,4,3.146
13,0.14,4,3.828
14,0.14,4,4.596
15,0.14,4,5.453
16,0.14,4,6.404
17,0.14,4,7.453
18,0.14,4,8.604
2,0.15,4,0.048
