Sqrt(A) (m),Rn,t (cm),Dmax (mm)
3,0.15,4,0.118
4,0.15,4,0.223
5,0.15,4,0.362
6,0.15,4,0.545
7,0.15,4,0.782
8,0.15,4,1.073
9,0.15,4,1.422
10,0.15,4,1.834
11,0.15,4,2.312
12,0.15,4,2.862
13,0.15,4,3.486
14,0.15,4,4.189
15,0.15,4,4.975
16,0.15,4,5.848
17,0.15,4,6.811
18,0.15,4,7.868
2,0.16,4,0.043
3,0.16,4,0.107
4,0.16,4,0.2
5,0.16,4,0.325
6,0.16,4,0.495
7,0.16,4,0.712
8,0.16,4,0.979
9,0.16,4,1.3
10,0.16,4,1.679
11,0.16,4,2.119
12,0.16,4,2.626
13,0.16,4,3.202
14,0.16,4,3.851
15,0.16,4,4.578
16,0.16,4,5.385
17,0.16,4,6.276
18,0.16,4,7.254
2,0.17,4,0.039
3,0.17,4,0.097
4,0.17,4,0.182
5,0.17,4,0.297
6,0.17,4,0.454
7,0.17,4,0.654
8,0.17,4,0.901
9,0.17,4,1.198
10,0.17,4,1.549
11,0.17,4,1.957
12,0.17,4,2.427
13,0.17,4,2.963
14,0.17,4,3.567
15,0.17,4,4.243
16,0.17,4,4.994
17,0.17,4,5.824
18,0.17,4,6.735
2,0.18,4,0.036
3,0.18,4,0.089
4,0.18,4,0.166
5,0.18,4,0.273
6,0.18,4,0.42
7,0.18,4,0.605
8,0.18,4,0.835
9,0.18,4,1.111
10,0.18,4,1.438
11,0.18,4,1.82
12,0.18,4,2.259
13,0.18,4,2.76
14,0.18,4,3.326
15,0.18,4,3.959
16,0.18,4,4.662
17,0.18,4,5.439
18,0.18,4,6.292
2,0.19,4,0.033
3,0.19,4,0.081
4,0.19,4,0.152
5,0.19,4,0.254
6,0.19,4,0.39
7,0.19,4,0.564
8,0.19,4,0.778
9,0.19,4,1.037
10,0.19,4,1.344
11,0.19,4,1.702
12,0.19,4,2.115
13,0.19,4,2.587
14,0.19,4,3.119
15,0.19,4,3.715
16,0.19,4,4.377
17,0.19,4,5.109
18,0.19,4,5.912
2,0.2,4,0.031
3,0.2,4,0.075
4,0.2,4,0.141
5,0.2,4,0.237
6,0.2,4,0.364
7,0.2,4,0.528
8,0.2,4,0.729
9,0.2,4,0.973
10,0.2,4,1.263
11,0.2,4,1.601
12,0.2,4,1.992
13,0.2,4,2.437
14,0.2,4,2.94
15,0.2,4,3.504
16,0.2,4,4.131
17,0.2,4,4.823
18,0.2,4,5.583
2,0.21,4,0.029
3,0.21,4,0.07
4,0.21,4,0.132
5,0.21,4,0.222
6,0.21,4,0.342
7,0.21,4,0.496
8,0.21,4,0.687
9,0.21,4,0.918
10,0.21,4,1.193
11,0.21,4,1.514
12,0.21,4,1.884
13,0.21,4,2.307
14,0.21,4,2.785
15,0.21,4,3.321
16,0.21,4,3.916
17,0.21,4,4.575
18,0.21,4,5.296
2,0.22,4,0.027
3,0.22,4,0.065
4,0.22,4,0.124
5,0.22,4,0.209
6,0.22,4,0.323
7,0.22,4,0.469
8,0.22,4,0.65
9,0.22,4,0.87
10,0.22,4,1.131
11,0.22,4,1.437
12,0.22,4,1.79
13,0.22,4,2.194
14,0.22,4,2.65
15,0.22,4,3.161
16,0.22,4,3.729
17,0.22,4,4.357
18,0.22,4,5.045
2,0.23,4,0.025
3,0.23,4,0.061
4,0.23,4,0.117
5,0.23,4,0.198
6,0.23,4,0.307
7,0.23,4,0.446
8,0.23,4,0.618
9,0.23,4,0.828
10,0.23,4,1.078
11,0.23,4,1.37
12,0.23,4,1.708
13,0.23,4,2.095
14,0.23,4,2.531
15,0.23,4,3.02
16,0.23,4,3.564
17,0.23,4,4.165
18,0.23,4,4.824
2,0.24,4,0.024
3,0.24,4,0.058
4,0.24,4,0.111
5,0.24,4,0.188
6,0.24,4,0.292
7,0.24,4,0.425
8,0.24,4,0.59
9,0.24,4,0.791
10,0.24,4,1.031
11,0.24,4,1.312
12,0.24,4,1.636
13,0.24,4,2.007
14,0.24,4,2.426
15,0.24,4,2.897
16,0.24,4,3.419
17,0.24,4,3.996
18,0.24,4,4.629
2,0.25,4,0.022
3,0.25,4,0.054
4,0.25,4,0.106
5,0.25,4,0.18
6,0.25,4,0.279
7,0.25,4,0.406
8,0.25,4,0.565
9,0.25,4,0.759
10,0.25,4,0.989
11,0.25,4,1.26
12,0.25,4,1.572
13,0.25,4,1.93
14,0.25,4,2.334
15,0.25,4,2.787
16,0.25,4,3.29
17,0.25,4,3.846
18,0.25,4,4.456
2,0.26,4,0.021
3,0.26,4,0.052
4,0.26,4,0.101
5,0.26,4,0.172
6,0.26,4,0.267
7,0.26,4,0.39
8,0.26,4,0.543
9,0.26,4,0.73
10,0.26,4,0.953
11,0.26,4,1.214
12,0.26,4,1.516
13,0.26,4,1.861
14,0.26,4,2.252
15,0.26,4,2.69
16,0.26,4,3.176
17,0.26,4,3.713
18,0.26,4,4.302
2,0.27,4,0.02
3,0.27,4,0.049
4,0.27,4,0.097
5,0.27,4,0.165
6,0.27,4,0.257
7,0.27,4,0.376
8,0.27,4,0.524
9,0.27,4,0.704
10,0.27,4,0.92
11,0.27,4,1.173
12,0.27,4,1.466
13,0.27,4,1.801
14,0.27,4,2.179
15,0.27,4,2.603
16,0.27,4,3.074
17,0.27,4,3.594
18,0.27,4,4.165
2,0.28,4,0.019
3,0.28,4,0.047
4,0.28,4,0.093
5,0.28,4,0.159
6,0.28,4,0.248
7,0.28,4,0.363
8,0.28,4,0.506
9,0.28,4,0.682
10,0.28,4,0.891
11,0.28,4,1.137
12,0.28,4,1.421
13,0.28,4,1.746
14,0.28,4,2.114
15,0.28,4,2.526
16,0.28,4,2.983
17,0.28,4,3.489
18,0.28,4,4.042
2,0.29,4,0.019
3,0.29,4,0.046
4,0.29,4,0.09
5,0.29,4,0.154
6,0.29,4,0.24
7,0.29,4,0.351
8,0.29,4,0.491
9,0.29,4,0.661
10,0.29,4,0.865
11,0.29,4,1.104
12,0.29,4,1.381
13,0.29,4,1.698
14,0.29,4,2.056
15,0.29,4,2.457
16,0.29,4,2.902
17,0.29,4,3.394
18,0.29,4,3.932
2,0.3,4,0.018
3,0.3,4,0.044
4,0.3,4,0.087
5,0.3,4,0.149
6,0.3,4,0.233
7,0.3,4,0.341
8,0.3,4,0.477
9,0.3,4,0.643
10,0.3,4,0.842
11,0.3,4,1.075
12,0.3,4,1.346
13,0.3,4,1.655
14,0.3,4,2.004
15,0.3,4,2.395
16,0.3,4,2.83
17,0.3,4,3.309
18,0.3,4,3.834
2,0.31,4,0.017
3,0.31,4,0.043
4,0.31,4,0.084
5,0.31,4,0.145
6,0.31,4,0.226
7,0.31,4,0.332
8,0.31,4,0.465
9,0.31,4,0.627
10,0.31,4,0.821
11,0.31,4,1.05
12,0.31,4,1.314
13,0.31,4,1.616
14,0.31,4,1.958
15,0.31,4,2.34
16,0.31,4,2.765
17,0.31,4,3.233
18,0.31,4,3.746
2,0.32,4,0.017
3,0.32,4,0.042
4,0.32,4,0.082
5,0.32,4,0.141
6,0.32,4,0.22
7,0.32,4,0.324
8,0.32,4,0.454
9,0.32,4,0.613
10,0.32,4,0.803
11,0.32,4,1.027
12,0.32,4,1.286
13,0.32,4,1.582
14,0.32,4,1.916
15,0.32,4,2.291
16,0.32,4,2.707
17,0.32,4,3.165
18,0.32,4,3.667
2,0.33,4,0.016
3,0.33,4,0.04
4,0.33,4,0.08
5,0.33,4,0.137
6,0.33,4,0.215
7,0.33,4,0.316
8,0.33,4,0.444
9,0.33,4,0.6
10,0.33,4,0.786
11,0.33,4,1.006
12,0.33,4,1.26
13,0.33,4,1.551
14,0.33,4,1.879
15,0.33,4,2.247
16,0.33,4,2.655
17,0.33,4,3.104
18,0.33,4,3.597
2,0.34,4,0.016
3,0.34,4,0.039
4,0.34,4,0.078
5,0.34,4,0.134
6,0.34,4,0.21
7,0.34,4,0.31
8,0.34,4,0.435
9,0.34,4,0.588
10,0.34,4,0.772
11,0.34,4,0.988
12,0.34,4,1.238
13,0.34,4,1.523
14,0.34,4,1.846
15,0.34,4,2.207
16,0.34,4,2.608
17,0.34,4,3.05
18,0.34,4,3.534
2,0.35,4,0.015
3,0.35,4,0.038
4,0.35,4,0.076
5,0.35,4,0.131
6,0.35,4,0.206
7,0.35,4,0.304
8,0.35,4,0.427
9,0.35,4,0.578
10,0.35,4,0.759
11,0.35,4,0.971
12,0.35,4,1.217
13,0.35,4,1.499
14,0.35,4,1.817
15,0.35,4,2.172
16,0.35,4,2.566
17,0.35,4,3.001
18,0.35,4,3.478
2,0.36,4,0.015
3,0.36,4,0.038
4,0.36,4,0.075
5,0.36,4,0.129
6,0.36,4,0.202
7,0.36,4,0.299
8,0.36,4,0.42
9,0.36,4,0.568
10,0.36,4,0.747
11,0.36,4,0.957
12,0.36,4,1.199
13,0.36,4,1.477
14,0.36,4,1.79
15,0.36,4,2.141
16,0.36,4,2.53
17,0.36,4,2.958
18,0.36,4,3.428
2,0.37,4,0.014
3,0.37,4,0.037
4,0.37,4,0.073
5,0.37,4,0.126
6,0.37,4,0.199
7,0.37,4,0.294
8,0.37,4,0.413
9,0.37,4,0.56
10,0.37,4,0.736
11,0.37,4,0.944
12,0.37,4,1.183
13,0.37,4,1.458
14,0.37,4,1.767
15,0.37,4,2.113
16,0.37,4,2.497
17,0.37,4,2.92
18,0.37,4,3.383
2,0.38,4,0.014
3,0.38,4,0.036
4,0.38,4,0.072
5,0.38,4,0.124
6,0.38,4,0.196
7,0.38,4,0.29
8,0.38,4,0.408
9,0.38,4,0.553
10,0.38,4,0.727
11,0.38,4,0.932
12,0.38,4,1.169
13,0.38,4,1.44
14,0.38,4,1.746
15,0.38,4,2.089
16,0.38,4,2.468
17,0.38,4,2.886
18,0.38,4,3.343
2,0.39,4,0.014
3,0.39,4,0.036
4,0.39,4,0.071
5,0.39,4,0.122
6,0.39,4,0.193
7,0.39,4,0.286
8,0.39,4,0.403
9,0.39,4,0.546
10,0.39,4,0.719
11,0.39,4,0.922
12,0.39,4,1.157
13,0.39,4,1.425
14,0.39,4,1.728
15,0.39,4,2.067
16,0.39,4,2.443
17,0.39,4,2.856
18,0.39,4,3.309
2,0.4,4,0.014
3,0.4,4,0.035
4,0.4,4,0.07
5,0.4,4,0.121
6,0.4,4,0.191
7,0.4,4,0.282
8,0.4,4,0.398
9,0.4,4,0.541
10,0.4,4,0.712
11,0.4,4,0.913
12,0.4,4,1.146
13,0.4,4,1.412
14,0.4,4,1.712
15,0.4,4,2.048
16,0.4,4,2.42
17,0.4,4,2.83
18,0.4,4,3.279
2,0.1,4.5,0.09
3,0.1,4.5,0.225
4,0.1,4.5,0.429
5,0.1,4.5,0.704
6,0.1,4.5,1.053
7,0.1,4.5,1.474
8,0.1,4.5,1.97
9,0.1,4.5,2.541
10,0.1,4.5,3.218
11,0.1,4.5,4.021
12,0.1,4.5,4.935
13,0.1,4.5,5.964
14,0.1,4.5,7.114
15,0.1,4.5,8.391
16,0.1,4.5,9.799
17,0.1,4.5,11.345
18,0.1,4.5,13.034
2,0.11,4.5,0.077
3,0.11,4.5,0.192
4,0.11,4.5,0.365
5,0.11,4.5,0.599
6,0.11,4.5,0.893
7,0.11,4.5,1.249
8,0.11,4.5,1.667
9,0.11,4.5,2.166
10,0.11,4.5,2.771
11,0.11,4.5,3.468
12,0.11,4.5,4.261
13,0.11,4.5,5.157
14,0.11,4.5,6.16
15,0.11,4.5,7.274
16,0.11,4.5,8.505
17,0.11,4.5,9.858
18,0.11,4.5,11.337
2,0.12,4.5,0.067
3,0.12,4.5,0.166
4,0.12,4.5,0.315
5,0.12,4.5,0.516
6,0.12,4.5,0.769
7,0.12,4.5,1.074
8,0.12,4.5,1.438
9,0.12,4.5,1.892
10,0.12,4.5,2.424
11,0.12,4.5,3.038
12,0.12,4.5,3.738
13,0.12,4.5,4.53
14,0.12,4.5,5.418
15,0.12,4.5,6.405
16,0.12,4.5,7.498
17,0.12,4.5,8.699
18,0.12,4.5,10.014
2,0.13,4.5,0.058
3,0.13,4.5,0.145
4,0.13,4.5,0.276
5,0.13,4.5,0.451
6,0.13,4.5,0.67
7,0.13,4.5,0.935
8,0.13,4.5,1.271
9,0.13,4.5,1.675
10,0.13,4.5,2.15
11,0.13,4.5,2.698
12,0.13,4.5,3.324
13,0.13,4.5,4.033
14,0.13,4.5,4.828
15,0.13,4.5,5.715
16,0.13,4.5,6.696
17,0.13,4.5,7.777
18,0.13,4.5,8.96
2,0.14,4.5,0.052
3,0.14,4.5,0.129
4,0.14,4.5,0.244
5,0.14,4.5,0.398
6,0.14,4.5,0.591
7,0.14,4.5,0.832
8,0.14,4.5,1.137
9,0.14,4.5,1.501
10,0.14,4.5,1.928
11,0.14,4.5,2.423
12,0.14,4.5,2.989
13,0.14,4.5,3.631
14,0.14,4.5,4.352
15,0.14,4.5,5.156
16,0.14,4.5,6.047
17,0.14,4.5,7.029
18,0.14,4.5,8.105
2,0.15,4.5,0.046
3,0.15,4.5,0.115
4,0.15,4.5,0.218
5,0.15,4.5,0.355
6,0.15,4.5,0.526
7,0.15,4.5,0.75
8,0.15,4.5,1.027
9,0.15,4.5,1.358
10,0.15,4.5,1.747
11,0.15,4.5,2.198
12,0.15,4.5,2.715
13,0.15,4.5,3.301
14,0.15,4.5,3.961
15,0.15,4.5,4.697
16,0.15,4.5,5.514
17,0.15,4.5,6.414
18,0.15,4.5,7.401
2,0.16,4.5,0.042
3,0.16,4.5,0.104
4,0.16,4.5,0.196
5,0.16,4.5,0.319
6,0.16,4.5,0.476
7,0.16,4.5,0.683
8,0.16,4.5,0.936
9,0.16,4.5,1.239
10,0.16,4.5,1.597
11,0.16,4.5,2.011
12,0.16,4.5,2.487
13,0.16,4.5,3.028
14,0.16,4.5,3.636
15,0.16,4.5,4.316
16,0.16,4.5,5.07
17,0.16,4.5,5.902
18,0.16,4.5,6.815
2,0.17,4.5,0.038
3,0.17,4.5,0.095
4,0.17,4.5,0.178
5,0.17,4.5,0.289
6,0.17,4.5,0.436
7,0.17,4.5,0.626
8,0.17,4.5,0.86
9,0.17,4.5,1.14
10,0.17,4.5,1.471
11,0.17,4.5,1.855
12,0.17,4.5,2.296
13,0.17,4.5,2.798
14,0.17,4.5,3.363
15,0.17,4.5,3.995
16,0.17,4.5,4.697
17,0.17,4.5,5.471
18,0.17,4.5,6.321
2,0.18,4.5,0.035
3,0.18,4.5,0.086
4,0.18,4.5,0.162
5,0.18,4.5,0.264
6,0.18,4.5,0.402
7,0.18,4.5,0.579
8,0.18,4.5,0.796
9,0.18,4.5,1.056
10,0.18,4.5,1.364
11,0.18,4.5,1.722
12,0.18,4.5,2.134
13,0.18,4.5,2.603
14,0.18,4.5,3.131
15,0.18,4.5,3.723
16,0.18,4.5,4.379
17,0.18,4.5,5.105
18,0.18,4.5,5.901
2,0.19,4.5,0.032
3,0.19,4.5,0.08
4,0.19,4.5,0.149
5,0.19,4.5,0.244
6,0.19,4.5,0.374
7,0.19,4.5,0.538
8,0.19,4.5,0.741
9,0.19,4.5,0.985
10,0.19,4.5,1.273
11,0.19,4.5,1.609
12,0.19,4.5,1.996
13,0.19,4.5,2.436
14,0.19,4.5,2.933
15,0.19,4.5,3.489
16,0.19,4.5,4.108
17,0.19,4.5,4.79
18,0.19,4.5,5.54
2,0.2,4.5,0.03
3,0.2,4.5,0.074
4,0.2,4.5,0.138
5,0.2,4.5,0.227
6,0.2,4.5,0.349
7,0.2,4.5,0.503
8,0.2,4.5,0.694
9,0.2,4.5,0.923
10,0.2,4.5,1.195
11,0.2,4.5,1.512
12,0.2,4.5,1.877
13,0.2,4.5,2.293
14,0.2,4.5,2.762
15,0.2,4.5,3.288
16,0.2,4.5,3.873
17,0.2,4.5,4.519
18,0.2,4.5,5.228
2,0.21,4.5,0.028
3,0.21,4.5,0.068
4,0.21,4.5,0.128
5,0.21,4.5,0.213
6,0.21,4.5,0.327
7,0.21,4.5,0.473
8,0.21,4.5,0.653
9,0.21,4.5,0.87
10,0.21,4.5,1.127
11,0.21,4.5,1.427
12,0.21,4.5,1.773
13,0.21,4.5,2.168
14,0.21,4.5,2.614
15,0.21,4.5,3.114
16,0.21,4.5,3.669
17,0.21,4.5,4.283
18,0.21,4.5,4.957
2,0.22,4.5,0.026
3,0.22,4.5,0.064
4,0.22,4.5,0.119
5,0.22,4.5,0.201
6,0.22,4.5,0.309
7,0.22,4.5,0.447
8,0.22,4.5,0.617
9,0.22,4.5,0.823
10,0.22,4.5,1.068
11,0.22,4.5,1.354
12,0.22,4.5,1.683
13,0.22,4.5,2.06
14,0.22,4.5,2.485
15,0.22,4.5,2.961
16,0.22,4.5,3.491
17,0.22,4.5,4.077
18,0.22,4.5,4.72
2,0.23,4.5,0.024
3,0.23,4.5,0.06
4,0.23,4.5,0.113
5,0.23,4.5,0.19
6,0.23,4.5,0.292
7,0.23,4.5,0.424
8,0.23,4.5,0.586
9,0.23,4.5,0.783
10,0.23,4.5,1.016
11,0.23,4.5,1.289
12,0.23,4.5,1.605
13,0.23,4.5,1.965
14,0.23,4.5,2.372
15,0.23,4.5,2.828
16,0.23,4.5,3.335
17,0.23,4.5,3.896
18,0.23,4.5,4.511
2,0.24,4.5,0.023
3,0.24,4.5,0.056
4,0.24,4.5,0.107
5,0.24,4.5,0.18
6,0.24,4.5,0.278
7,0.24,4.5,0.403
8,0.24,4.5,0.559
9,0.24,4.5,0.747
10,0.24,4.5,0.971
11,0.24,4.5,1.233
12,0.24,4.5,1.535
13,0.24,4.5,1.881
14,0.24,4.5,2.272
15,0.24,4.5,2.71
16,0.24,4.5,3.198
17,0.24,4.5,3.736
18,0.24,4.5,4.327
2,0.25,4.5,0.022
3,0.25,4.5,0.053
4,0.25,4.5,0.102
5,0.25,4.5,0.172
6,0.25,4.5,0.266
7,0.25,4.5,0.386
8,0.25,4.5,0.535
9,0.25,4.5,0.716
10,0.25,4.5,0.931
11,0.25,4.5,1.183
12,0.25,4.5,1.474
13,0.25,4.5,1.807
14,0.25,4.5,2.184
15,0.25,4.5,2.606
16,0.25,4.5,3.076
17,0.25,4.5,3.595
18,0.25,4.5,4.164
2,0.26,4.5,0.021
3,0.26,4.5,0.051
4,0.26,4.5,0.097
5,0.26,4.5,0.164
6,0.26,4.5,0.254
7,0.26,4.5,0.37
8,0.26,4.5,0.513
9,0.26,4.5,0.688
10,0.26,4.5,0.895
11,0.26,4.5,1.139
12,0.26,4.5,1.42
13,0.26,4.5,1.742
14,0.26,4.5,2.106
15,0.26,4.5,2.514
16,0.26,4.5,2.968
17,0.26,4.5,3.47
18,0.26,4.5,4.02
2,0.27,4.5,0.02
3,0.27,4.5,0.048
4,0.27,4.5,0.093
5,0.27,4.5,0.158
6,0.27,4.5,0.244
7,0.27,4.5,0.356
8,0.27,4.5,0.494
9,0.27,4.5,0.663
10,0.27,4.5,0.864
11,0.27,4.5,1.1
12,0.27,4.5,1.372
13,0.27,4.5,1.684
14,0.27,4.5,2.037
15,0.27,4.5,2.432
16,0.27,4.5,2.872
17,0.27,4.5,3.358
18,0.27,4.5,3.891
2,0.28,4.5,0.019
3,0.28,4.5,0.046
4,0.28,4.5,0.089
5,0.28,4.5,0.152
6,0.28,4.5,0.236
7,0.28,4.5,0.343
8,0.28,4.5,0.478
9,0.28,4.5,0.641
10,0.28,4.5,0.836
11,0.28,4.5,1.065
12,0.28,4.5,1.33
13,0.28,4.5,1.632
14,0.28,4.5,1.975
15,0.28,4.5,2.359
16,0.28,4.5,2.786
17,0.28,4.5,3.258
18,0.28,4.5,3.776
2,0.29,4.5,0.018
3,0.29,4.5,0.044
4,0.29,4.5,0.086
5,0.29,4.5,0.147
6,0.29,4.5,0.228
7,0.29,4.5,0.332
8,0.29,4.5,0.463
9,0.29,4.5,0.621
10,0.29,4.5,0.811
11,0.29,4.5,1.034
12,0.29,4.5,1.292
13,0.29,4.5,1.586
14,0.29,4.5,1.92
15,0.29,4.5,2.294
16,0.29,4.5,2.71
17,0.29,4.5,3.169
18,0.29,4.5,3.673
2,0.3,4.5,0.017
3,0.3,4.5,0.043
4,0.3,4.5,0.083
5,0.3,4.5,0.142
6,0.3,4.5,0.221
7,0.3,4.5,0.322
8,0.3,4.5,0.449
9,0.3,4.5,0.604
10,0.3,4.5,0.789
11,0.3,4.5,1.006
12,0.3,4.5,1.258
13,0.3,4.5,1.545
14,0.3,4.5,1.871
15,0.3,4.5,2.236
16,0.3,4.5,2.642
17,0.3,4.5,3.09
18,0.3,4.5,3.581
2,0.31,4.5,0.017
3,0.31,4.5,0.041
4,0.31,4.5,0.081
5,0.31,4.5,0.138
6,0.31,4.5,0.214
7,0.31,4.5,0.313
8,0.31,4.5,0.437
9,0.31,4.5,0.588
10,0.31,4.5,0.769
11,0.31,4.5,0.981
12,0.31,4.5,1.227
13,0.31,4.5,1.509
14,0.31,4.5,1.827
15,0.31,4.5,2.184
16,0.31,4.5,2.581
17,0.31,4.5,3.019
18,0.31,4.5,3.499
2,0.32,4.5,0.016
3,0.32,4.5,0.04
4,0.32,4.5,0.078
5,0.32,4.5,0.134
6,0.32,4.5,0.209
7,0.32,4.5,0.305
8,0.32,4.5,0.426
9,0.32,4.5,0.574
10,0.32,4.5,0.751
11,0.32,4.5,0.959
12,0.32,4.5,1.2
13,0.32,4.5,1.476
14,0.32,4.5,1.788
15,0.32,4.5,2.138
16,0.32,4.5,2.526
17,0.32,4.5,2.955
18,0.32,4.5,3.426
2,0.33,4.5,0.016
3,0.33,4.5,0.039
4,0.33,4.5,0.076
5,0.33,4.5,0.13
6,0.33,4.5,0.203
7,0.33,4.5,0.298
8,0.33,4.5,0.417
9,0.33,4.5,0.562
10,0.33,4.5,0.735
11,0.33,4.5,0.939
12,0.33,4.5,1.176
13,0.33,4.5,1.446
14,0.33,4.5,1.753
15,0.33,4.5,2.096
16,0.33,4.5,2.477
17,0.33,4.5,2.898
18,0.33,4.5,3.36
2,0.34,4.5,0.015
3,0.34,4.5,0.038
4,0.34,4.5,0.074
5,0.34,4.5,0.127
6,0.34,4.5,0.199
7,0.34,4.5,0.292
8,0.34,4.5,0.408
9,0.34,4.5,0.55
10,0.34,4.5,0.721
11,0.34,4.5,0.922
12,0.34,4.5,1.154
13,0.34,4.5,1.42
14,0.34,4.5,1.722
15,0.34,4.5,2.059
16,0.34,4.5,2.434
17,0.34,4.5,2.848
18,0.34,4.5,3.301
2,0.35,4.5,0.015
3,0.35,4.5,0.037
4,0.35,4.5,0.073
5,0.35,4.5,0.125
6,0.35,4.5,0.195
7,0.35,4.5,0.286
8,0.35,4.5,0.4
9,0.35,4.5,0.54
10,0.35,4.5,0.708
11,0.35,4.5,0.906
12,0.35,4.5,1.135
13,0.35,4.5,1.397
14,0.35,4.5,1.694
15,0.35,4.5,2.026
16,0.35,4.5,2.395
17,0.35,4.5,2.802
18,0.35,4.5,3.248
2,0.36,4.5,0.014
3,0.36,4.5,0.036
4,0.36,4.5,0.071
5,0.36,4.5,0.122
6,0.36,4.5,0.191
7,0.36,4.5,0.281
8,0.36,4.5,0.393
9,0.36,4.5,0.531
10,0.36,4.5,0.697
11,0.36,4.5,0.892
12,0.36,4.5,1.118
13,0.36,4.5,1.376
14,0.36,4.5,1.669
15,0.36,4.5,1.996
16,0.36,4.5,2.36
17,0.36,4.5,2.762
18,0.36,4.5,3.202
2,0.37,4.5,0.014
3,0.37,4.5,0.035
4,0.37,4.5,0.07
5,0.37,4.5,0.12
6,0.37,4.5,0.188
7,0.37,4.5,0.276
8,0.37,4.5,0.387
9,0.37,4.5,0.523
10,0.37,4.5,0.687
11,0.37,4.5,0.879
12,0.37,4.5,1.102
13,0.37,4.5,1.358
14,0.37,4.5,1.647
15,0.37,4.5,1.97
16,0.37,4.5,2.33
17,0.37,4.5,2.726
18,0.37,4.5,3.16
2,0.38,4.5,0.014
3,0.38,4.5,0.035
4,0.38,4.5,0.069
5,0.38,4.5,0.118
6,0.38,4.5,0.185
7,0.38,4.5,0.272
8,0.38,4.5,0.381
9,0.38,4.5,0.516
10,0.38,4.5,0.678
11,0.38,4.5,0.868
12,0.38,4.5,1.089
13,0.38,4.5,1.341
14,0.38,4.5,1.627
15,0.38,4.5,1.947
16,0.38,4.5,2.302
17,0.38,4.5,2.694
18,0.38,4.5,3.124
2,0.39,4.5,0.013
3,0.39,4.5,0.034
4,0.39,4.5,0.068
5,0.39,4.5,0.116
6,0.39,4.5,0.182
7,0.39,4.5,0.268
8,0.39,4.5,0.376
9,0.39,4.5,0.51
10,0.39,4.5,0.67
11,0.39,4.5,0.858
12,0.39,4.5,1.077
13,0.39,4.5,1.327
14,0.39,4.5,1.61
15,0.39,4.5,1.927
16,0.39,4.5,2.279
17,0.39,4.5,2.667
18,0.39,4.5,3.091
2,0.4,4.5,0.013
3,0.4,4.5,0.034
4,0.4,4.5,0.067
5,0.4,4.5,0.114
6,0.4,4.5,0.18
7,0.4,4.5,0.265
8,0.4,4.5,0.372
9,0.4,4.5,0.504
10,0.4,4.5,0.662
11,0.4,4.5,0.849
12,0.4,4.5,1.066
13,0.4,4.5,1.314
14,0.4,4.5,1.595
15,0.4,4.5,1.909
16,0.4,4.5,2.258
17,0.4,4.5,2.642
18,0.4,4.5,3.063
2,0.1,5,0.087
3,0.1,5,0.219
4,0.1,5,0.418
5,0.1,5,0.688
6,0.1,5,1.031
7,0.1,5,1.446
8,0.1,5,1.935
9,0.1,5,2.499
10,0.1,5,3.136
11,0.1,5,3.881
12,0.1,5,4.756
13,0.1,5,5.739
14,0.1,5,6.837
15,0.1,5,8.053
16,0.1,5,9.394
17,0.1,5,10.863
18,0.1,5,12.466
2,0.11,5,0.075
3,0.11,5,0.187
