Sqrt(A) (m),Rn,t (cm),Dmax (mm)
11,0.26,4,1.27
12,0.26,4,1.588
13,0.26,4,1.951
14,0.26,4,2.361
15,0.26,4,2.821
16,0.26,4,3.333
17,0.26,4,3.899
18,0.26,4,4.523
2,0.27,4,0.022
3,0.27,4,0.054
4,0.27,4,0.103
5,0.27,4,0.171
6,0.27,4,0.266
7,0.27,4,0.39
8,0.27,4,0.545
9,0.27,4,0.735
10,0.27,4,0.962
11,0.27,4,1.227
12,0.27,4,1.535
13,0.27,4,1.886
14,0.27,4,2.283
15,0.27,4,2.728
16,0.27,4,3.223
17,0.27,4,3.771
18,0.27,4,4.374
2,0.28,4,0.021
3,0.28,4,0.052
4,0.28,4,0.099
5,0.28,4,0.164
6,0.28,4,0.257
7,0.28,4,0.377
8,0.28,4,0.528
9,0.28,4,0.712
10,0.28,4,0.931
11,0.28,4,1.189
12,0.28,4,1.487
13,0.28,4,1.828
14,0.28,4,2.213
15,0.28,4,2.644
16,0.28,4,3.125
17,0.28,4,3.655
18,0.28,4,4.24
2,0.29,4,0.02
3,0.29,4,0.05
4,0.29,4,0.094
5,0.29,4,0.159
6,0.29,4,0.249
7,0.29,4,0.365
8,0.29,4,0.512
9,0.29,4,0.691
10,0.29,4,0.905
11,0.29,4,1.155
12,0.29,4,1.445
13,0.29,4,1.776
14,0.29,4,2.15
15,0.29,4,2.569
16,0.29,4,3.036
17,0.29,4,3.552
18,0.29,4,4.12
2,0.3,4,0.019
3,0.3,4,0.048
4,0.3,4,0.091
5,0.3,4,0.154
6,0.3,4,0.241
7,0.3,4,0.355
8,0.3,4,0.498
9,0.3,4,0.672
10,0.3,4,0.88
11,0.3,4,1.125
12,0.3,4,1.407
13,0.3,4,1.729
14,0.3,4,2.094
15,0.3,4,2.502
16,0.3,4,2.956
17,0.3,4,3.458
18,0.3,4,4.012
2,0.31,4,0.019
3,0.31,4,0.046
4,0.31,4,0.087
5,0.31,4,0.149
6,0.31,4,0.235
7,0.31,4,0.346
8,0.31,4,0.485
9,0.31,4,0.656
10,0.31,4,0.859
11,0.31,4,1.097
12,0.31,4,1.373
13,0.31,4,1.687
14,0.31,4,2.043
15,0.31,4,2.441
16,0.31,4,2.884
17,0.31,4,3.374
18,0.31,4,3.914
2,0.32,4,0.018
3,0.32,4,0.044
4,0.32,4,0.084
5,0.32,4,0.146
6,0.32,4,0.229
7,0.32,4,0.338
8,0.32,4,0.474
9,0.32,4,0.641
10,0.32,4,0.84
11,0.32,4,1.073
12,0.32,4,1.342
13,0.32,4,1.65
14,0.32,4,1.997
15,0.32,4,2.386
16,0.32,4,2.82
17,0.32,4,3.298
18,0.32,4,3.826
2,0.33,4,0.017
3,0.33,4,0.043
4,0.33,4,0.082
5,0.33,4,0.142
6,0.33,4,0.224
7,0.33,4,0.33
8,0.33,4,0.464
9,0.33,4,0.627
10,0.33,4,0.822
11,0.33,4,1.051
12,0.33,4,1.315
13,0.33,4,1.616
14,0.33,4,1.956
15,0.33,4,2.337
16,0.33,4,2.761
17,0.33,4,3.23
18,0.33,4,3.747
2,0.34,4,0.017
3,0.34,4,0.041
4,0.34,4,0.08
5,0.34,4,0.139
6,0.34,4,0.219
7,0.34,4,0.324
8,0.34,4,0.455
9,0.34,4,0.615
10,0.34,4,0.807
11,0.34,4,1.031
12,0.34,4,1.29
13,0.34,4,1.585
14,0.34,4,1.919
15,0.34,4,2.292
16,0.34,4,2.708
17,0.34,4,3.168
18,0.34,4,3.675
2,0.35,4,0.016
3,0.35,4,0.04
4,0.35,4,0.079
5,0.35,4,0.136
6,0.35,4,0.215
7,0.35,4,0.318
8,0.35,4,0.447
9,0.35,4,0.604
10,0.35,4,0.793
11,0.35,4,1.013
12,0.35,4,1.268
13,0.35,4,1.558
14,0.35,4,1.885
15,0.35,4,2.253
16,0.35,4,2.661
17,0.35,4,3.112
18,0.35,4,3.61
2,0.36,4,0.016
3,0.36,4,0.039
4,0.36,4,0.077
5,0.36,4,0.134
6,0.36,4,0.211
7,0.36,4,0.312
8,0.36,4,0.44
9,0.36,4,0.595
10,0.36,4,0.78
11,0.36,4,0.997
12,0.36,4,1.248
13,0.36,4,1.533
14,0.36,4,1.855
15,0.36,4,2.217
16,0.36,4,2.618
17,0.36,4,3.062
18,0.36,4,3.551
2,0.37,4,0.015
3,0.37,4,0.038
4,0.37,4,0.076
5,0.37,4,0.132
6,0.37,4,0.208
7,0.37,4,0.308
8,0.37,4,0.433
9,0.37,4,0.586
10,0.37,4,0.769
11,0.37,4,0.983
12,0.37,4,1.23
13,0.37,4,1.511
14,0.37,4,1.829
15,0.37,4,2.184
16,0.37,4,2.579
17,0.37,4,3.017
18,0.37,4,3.498
2,0.38,4,0.015
3,0.38,4,0.037
4,0.38,4,0.075
5,0.38,4,0.13
6,0.38,4,0.205
7,0.38,4,0.303
8,0.38,4,0.427
9,0.38,4,0.579
10,0.38,4,0.759
11,0.38,4,0.97
12,0.38,4,1.214
13,0.38,4,1.491
14,0.38,4,1.805
15,0.38,4,2.155
16,0.38,4,2.545
17,0.38,4,2.977
18,0.38,4,3.451
2,0.39,4,0.015
3,0.39,4,0.037
4,0.39,4,0.073
5,0.39,4,0.128
6,0.39,4,0.202
7,0.39,4,0.3
8,0.39,4,0.422
9,0.39,4,0.572
10,0.39,4,0.75
11,0.39,4,0.959
12,0.39,4,1.199
13,0.39,4,1.474
14,0.39,4,1.783
15,0.39,4,2.129
16,0.39,4,2.514
17,0.39,4,2.94
18,0.39,4,3.409
2,0.4,4,0.014
3,0.4,4,0.036
4,0.4,4,0.072
5,0.4,4,0.126
6,0.4,4,0.2
7,0.4,4,0.296
8,0.4,4,0.418
9,0.4,4,0.566
10,0.4,4,0.742
11,0.4,4,0.949
12,0.4,4,1.187
13,0.4,4,1.458
14,0.4,4,1.764
15,0.4,4,2.106
16,0.4,4,2.487
17,0.4,4,2.908
18,0.4,4,3.371
2,0.1,4.5,0.095
3,0.1,4.5,0.241
4,0.1,4.5,0.465
5,0.1,4.5,0.772
6,0.1,4.5,1.164
7,0.1,4.5,1.646
8,0.1,4.5,2.218
9,0.1,4.5,2.885
10,0.1,4.5,3.65
11,0.1,4.5,4.517
12,0.1,4.5,5.49
13,0.1,4.5,6.574
14,0.1,4.5,7.772
15,0.1,4.5,9.09
16,0.1,4.5,10.531
17,0.1,4.5,12.101
18,0.1,4.5,13.803
2,0.11,4.5,0.081
3,0.11,4.5,0.206
4,0.11,4.5,0.397
5,0.11,4.5,0.658
6,0.11,4.5,0.992
7,0.11,4.5,1.401
8,0.11,4.5,1.887
9,0.11,4.5,2.455
10,0.11,4.5,3.107
11,0.11,4.5,3.847
12,0.11,4.5,4.68
13,0.11,4.5,5.608
14,0.11,4.5,6.637
15,0.11,4.5,7.771
16,0.11,4.5,9.013
17,0.11,4.5,10.368
18,0.11,4.5,11.839
2,0.12,4.5,0.071
3,0.12,4.5,0.179
4,0.12,4.5,0.344
5,0.12,4.5,0.57
6,0.12,4.5,0.858
7,0.12,4.5,1.21
8,0.12,4.5,1.631
9,0.12,4.5,2.122
10,0.12,4.5,2.687
11,0.12,4.5,3.329
12,0.12,4.5,4.053
13,0.12,4.5,4.863
14,0.12,4.5,5.761
15,0.12,4.5,6.752
16,0.12,4.5,7.84
17,0.12,4.5,9.039
18,0.12,4.5,10.425
2,0.13,4.5,0.062
3,0.13,4.5,0.157
4,0.13,4.5,0.302
5,0.13,4.5,0.499
6,0.13,4.5,0.751
7,0.13,4.5,1.059
8,0.13,4.5,1.427
9,0.13,4.5,1.858
10,0.13,4.5,2.355
11,0.13,4.5,2.921
12,0.13,4.5,3.559
13,0.13,4.5,4.275
14,0.13,4.5,5.07
15,0.13,4.5,5.949
16,0.13,4.5,6.96
17,0.13,4.5,8.099
18,0.13,4.5,9.349
2,0.14,4.5,0.055
3,0.14,4.5,0.14
4,0.14,4.5,0.268
5,0.14,4.5,0.442
6,0.14,4.5,0.665
7,0.14,4.5,0.938
8,0.14,4.5,1.264
9,0.14,4.5,1.646
10,0.14,4.5,2.088
11,0.14,4.5,2.592
12,0.14,4.5,3.163
13,0.14,4.5,3.803
14,0.14,4.5,4.515
15,0.14,4.5,5.359
16,0.14,4.5,6.298
17,0.14,4.5,7.335
18,0.14,4.5,8.474
2,0.15,4.5,0.05
3,0.15,4.5,0.125
4,0.15,4.5,0.24
5,0.15,4.5,0.396
6,0.15,4.5,0.594
7,0.15,4.5,0.838
8,0.15,4.5,1.13
9,0.15,4.5,1.473
10,0.15,4.5,1.871
11,0.15,4.5,2.325
12,0.15,4.5,2.839
13,0.15,4.5,3.423
14,0.15,4.5,4.116
15,0.15,4.5,4.892
16,0.15,4.5,5.754
17,0.15,4.5,6.706
18,0.15,4.5,7.752
2,0.16,4.5,0.045
3,0.16,4.5,0.113
4,0.16,4.5,0.216
5,0.16,4.5,0.357
6,0.16,4.5,0.536
7,0.16,4.5,0.756
8,0.16,4.5,1.02
9,0.16,4.5,1.33
10,0.16,4.5,1.691
11,0.16,4.5,2.104
12,0.16,4.5,2.577
13,0.16,4.5,3.144
14,0.16,4.5,3.785
15,0.16,4.5,4.502
16,0.16,4.5,5.3
17,0.16,4.5,6.181
18,0.16,4.5,7.149
2,0.17,4.5,0.041
3,0.17,4.5,0.103
4,0.17,4.5,0.197
5,0.17,4.5,0.324
6,0.17,4.5,0.486
7,0.17,4.5,0.687
8,0.17,4.5,0.927
9,0.17,4.5,1.211
10,0.17,4.5,1.541
11,0.17,4.5,1.92
12,0.17,4.5,2.383
13,0.17,4.5,2.91
14,0.17,4.5,3.506
15,0.17,4.5,4.174
16,0.17,4.5,4.916
17,0.17,4.5,5.737
18,0.17,4.5,6.638
2,0.18,4.5,0.038
3,0.18,4.5,0.094
4,0.18,4.5,0.18
5,0.18,4.5,0.296
6,0.18,4.5,0.445
7,0.18,4.5,0.628
8,0.18,4.5,0.849
9,0.18,4.5,1.11
10,0.18,4.5,1.414
11,0.18,4.5,1.785
12,0.18,4.5,2.218
13,0.18,4.5,2.711
14,0.18,4.5,3.269
15,0.18,4.5,3.894
16,0.18,4.5,4.589
17,0.18,4.5,5.358
18,0.18,4.5,6.202
2,0.19,4.5,0.035
3,0.19,4.5,0.087
4,0.19,4.5,0.166
5,0.19,4.5,0.272
6,0.19,4.5,0.409
7,0.19,4.5,0.579
8,0.19,4.5,0.783
9,0.19,4.5,1.024
10,0.19,4.5,1.318
11,0.19,4.5,1.67
12,0.19,4.5,2.077
13,0.19,4.5,2.541
14,0.19,4.5,3.065
15,0.19,4.5,3.653
16,0.19,4.5,4.308
17,0.19,4.5,5.031
18,0.19,4.5,5.826
2,0.2,4.5,0.032
3,0.2,4.5,0.08
4,0.2,4.5,0.153
5,0.2,4.5,0.252
6,0.2,4.5,0.379
7,0.2,4.5,0.536
8,0.2,4.5,0.726
9,0.2,4.5,0.954
10,0.2,4.5,1.238
11,0.2,4.5,1.571
12,0.2,4.5,1.955
13,0.2,4.5,2.394
14,0.2,4.5,2.889
15,0.2,4.5,3.445
16,0.2,4.5,4.064
17,0.2,4.5,4.748
18,0.2,4.5,5.5
2,0.21,4.5,0.03
3,0.21,4.5,0.075
4,0.21,4.5,0.142
5,0.21,4.5,0.234
6,0.21,4.5,0.352
7,0.21,4.5,0.499
8,0.21,4.5,0.676
9,0.21,4.5,0.9
10,0.21,4.5,1.169
11,0.21,4.5,1.485
12,0.21,4.5,1.849
13,0.21,4.5,2.266
14,0.21,4.5,2.737
15,0.21,4.5,3.264
16,0.21,4.5,3.852
17,0.21,4.5,4.502
18,0.21,4.5,5.215
2,0.22,4.5,0.028
3,0.22,4.5,0.07
4,0.22,4.5,0.133
5,0.22,4.5,0.219
6,0.22,4.5,0.329
7,0.22,4.5,0.467
8,0.22,4.5,0.637
9,0.22,4.5,0.853
10,0.22,4.5,1.109
11,0.22,4.5,1.41
12,0.22,4.5,1.757
13,0.22,4.5,2.154
14,0.22,4.5,2.603
15,0.22,4.5,3.105
16,0.22,4.5,3.666
17,0.22,4.5,4.285
18,0.22,4.5,4.965
2,0.23,4.5,0.026
3,0.23,4.5,0.066
4,0.23,4.5,0.125
5,0.23,4.5,0.205
6,0.23,4.5,0.309
7,0.23,4.5,0.439
8,0.23,4.5,0.606
9,0.23,4.5,0.812
10,0.23,4.5,1.057
11,0.23,4.5,1.344
12,0.23,4.5,1.676
13,0.23,4.5,2.056
14,0.23,4.5,2.485
15,0.23,4.5,2.966
16,0.23,4.5,3.501
17,0.23,4.5,4.094
18,0.23,4.5,4.744
2,0.24,4.5,0.025
3,0.24,4.5,0.062
4,0.24,4.5,0.118
5,0.24,4.5,0.194
6,0.24,4.5,0.292
7,0.24,4.5,0.416
8,0.24,4.5,0.578
9,0.24,4.5,0.775
10,0.24,4.5,1.011
11,0.24,4.5,1.286
12,0.24,4.5,1.605
13,0.24,4.5,1.969
14,0.24,4.5,2.381
15,0.24,4.5,2.842
16,0.24,4.5,3.356
17,0.24,4.5,3.924
18,0.24,4.5,4.548
2,0.25,4.5,0.024
3,0.25,4.5,0.059
4,0.25,4.5,0.111
5,0.25,4.5,0.183
6,0.25,4.5,0.276
7,0.25,4.5,0.398
8,0.25,4.5,0.554
9,0.25,4.5,0.744
10,0.25,4.5,0.97
11,0.25,4.5,1.235
12,0.25,4.5,1.542
13,0.25,4.5,1.892
14,0.25,4.5,2.288
15,0.25,4.5,2.733
16,0.25,4.5,3.227
17,0.25,4.5,3.774
18,0.25,4.5,4.374
2,0.26,4.5,0.022
3,0.26,4.5,0.056
4,0.26,4.5,0.105
5,0.26,4.5,0.174
6,0.26,4.5,0.262
7,0.26,4.5,0.382
8,0.26,4.5,0.532
9,0.26,4.5,0.715
10,0.26,4.5,0.933
11,0.26,4.5,1.19
12,0.26,4.5,1.486
13,0.26,4.5,1.824
14,0.26,4.5,2.206
15,0.26,4.5,2.635
16,0.26,4.5,3.112
17,0.26,4.5,3.639
18,0.26,4.5,4.219
2,0.27,4.5,0.021
3,0.27,4.5,0.053
4,0.27,4.5,0.1
5,0.27,4.5,0.165
6,0.27,4.5,0.252
7,0.27,4.5,0.368
8,0.27,4.5,0.513
9,0.27,4.5,0.69
10,0.27,4.5,0.901
11,0.27,4.5,1.149
12,0.27,4.5,1.436
13,0.27,4.5,1.763
14,0.27,4.5,2.133
15,0.27,4.5,2.548
16,0.27,4.5,3.009
17,0.27,4.5,3.519
18,0.27,4.5,4.079
2,0.28,4.5,0.02
3,0.28,4.5,0.05
4,0.28,4.5,0.096
5,0.28,4.5,0.158
6,0.28,4.5,0.243
7,0.28,4.5,0.355
8,0.28,4.5,0.496
9,0.28,4.5,0.668
10,0.28,4.5,0.873
11,0.28,4.5,1.113
12,0.28,4.5,1.391
13,0.28,4.5,1.708
14,0.28,4.5,2.067
15,0.28,4.5,2.47
16,0.28,4.5,2.917
17,0.28,4.5,3.411
18,0.28,4.5,3.955
2,0.29,4.5,0.02
3,0.29,4.5,0.048
4,0.29,4.5,0.092
5,0.29,4.5,0.151
6,0.29,4.5,0.235
7,0.29,4.5,0.344
8,0.29,4.5,0.481
9,0.29,4.5,0.648
10,0.29,4.5,0.847
11,0.29,4.5,1.081
12,0.29,4.5,1.351
13,0.29,4.5,1.66
14,0.29,4.5,2.008
15,0.29,4.5,2.399
16,0.29,4.5,2.834
17,0.29,4.5,3.314
18,0.29,4.5,3.842
2,0.3,4.5,0.019
3,0.3,4.5,0.046
4,0.3,4.5,0.088
5,0.3,4.5,0.146
6,0.3,4.5,0.228
7,0.3,4.5,0.334
8,0.3,4.5,0.468
9,0.3,4.5,0.63
10,0.3,4.5,0.824
11,0.3,4.5,1.052
12,0.3,4.5,1.315
13,0.3,4.5,1.616
14,0.3,4.5,1.956
15,0.3,4.5,2.336
16,0.3,4.5,2.76
17,0.3,4.5,3.227
18,0.3,4.5,3.741
2,0.31,4.5,0.018
3,0.31,4.5,0.045
4,0.31,4.5,0.085
5,0.31,4.5,0.142
6,0.31,4.5,0.222
7,0.31,4.5,0.325
8,0.31,4.5,0.455
9,0.31,4.5,0.614
10,0.31,4.5,0.804
11,0.31,4.5,1.026
12,0.31,4.5,1.283
13,0.31,4.5,1.577
14,0.31,4.5,1.908
15,0.31,4.5,2.28
16,0.31,4.5,2.693
17,0.31,4.5,3.149
18,0.31,4.5,3.651
2,0.32,4.5,0.017
3,0.32,4.5,0.043
4,0.32,4.5,0.082
5,0.32,4.5,0.138
6,0.32,4.5,0.216
7,0.32,4.5,0.317
8,0.32,4.5,0.445
9,0.32,4.5,0.6
10,0.32,4.5,0.785
11,0.32,4.5,1.003
12,0.32,4.5,1.254
13,0.32,4.5,1.541
14,0.32,4.5,1.866
15,0.32,4.5,2.228
16,0.32,4.5,2.632
17,0.32,4.5,3.078
18,0.32,4.5,3.569
2,0.33,4.5,0.017
3,0.33,4.5,0.042
4,0.33,4.5,0.079
5,0.33,4.5,0.135
6,0.33,4.5,0.211
7,0.33,4.5,0.31
8,0.33,4.5,0.435
9,0.33,4.5,0.587
10,0.33,4.5,0.769
11,0.33,4.5,0.982
12,0.33,4.5,1.229
13,0.33,4.5,1.51
14,0.33,4.5,1.827
15,0.33,4.5,2.183
16,0.33,4.5,2.578
17,0.33,4.5,3.014
18,0.33,4.5,3.494
2,0.34,4.5,0.016
3,0.34,4.5,0.04
4,0.34,4.5,0.077
5,0.34,4.5,0.132
6,0.34,4.5,0.207
7,0.34,4.5,0.304
8,0.34,4.5,0.426
9,0.34,4.5,0.576
10,0.34,4.5,0.754
11,0.34,4.5,0.963
12,0.34,4.5,1.205
13,0.34,4.5,1.481
14,0.34,4.5,1.793
15,0.34,4.5,2.141
16,0.34,4.5,2.529
17,0.34,4.5,2.957
18,0.34,4.5,3.428
2,0.35,4.5,0.016
3,0.35,4.5,0.039
4,0.35,4.5,0.075
5,0.35,4.5,0.129
6,0.35,4.5,0.202
7,0.35,4.5,0.298
8,0.35,4.5,0.419
9,0.35,4.5,0.565
10,0.35,4.5,0.741
11,0.35,4.5,0.947
12,0.35,4.5,1.184
13,0.35,4.5,1.456
14,0.35,4.5,1.762
15,0.35,4.5,2.104
16,0.35,4.5,2.485
17,0.35,4.5,2.906
18,0.35,4.5,3.367
2,0.36,4.5,0.015
3,0.36,4.5,0.038
4,0.36,4.5,0.073
5,0.36,4.5,0.126
6,0.36,4.5,0.199
7,0.36,4.5,0.293
8,0.36,4.5,0.412
9,0.36,4.5,0.556
10,0.36,4.5,0.729
11,0.36,4.5,0.932
12,0.36,4.5,1.166
13,0.36,4.5,1.433
14,0.36,4.5,1.734
15,0.36,4.5,2.071
16,0.36,4.5,2.445
17,0.36,4.5,2.859
18,0.36,4.5,3.313
2,0.37,4.5,0.015
3,0.37,4.5,0.037
4,0.37,4.5,0.072
5,0.37,4.5,0.124
6,0.37,4.5,0.196
7,0.37,4.5,0.289
8,0.37,4.5,0.405
9,0.37,4.5,0.548
10,0.37,4.5,0.719
11,0.37,4.5,0.918
12,0.37,4.5,1.149
13,0.37,4.5,1.412
14,0.37,4.5,1.709
15,0.37,4.5,2.041
16,0.37,4.5,2.41
17,0.37,4.5,2.817
18,0.37,4.5,3.264
2,0.38,4.5,0.015
3,0.38,4.5,0.036
4,0.38,4.5,0.071
5,0.38,4.5,0.122
6,0.38,4.5,0.193
7,0.38,4.5,0.285
8,0.38,4.5,0.4
9,0.38,4.5,0.541
10,0.38,4.5,0.709
11,0.38,4.5,0.907
12,0.38,4.5,1.134
13,0.38,4.5,1.394
14,0.38,4.5,1.687
15,0.38,4.5,2.014
16,0.38,4.5,2.378
17,0.38,4.5,2.78
18,0.38,4.5,3.221
2,0.39,4.5,0.014
3,0.39,4.5,0.035
4,0.39,4.5,0.07
5,0.39,4.5,0.121
6,0.39,4.5,0.19
7,0.39,4.5,0.281
8,0.39,4.5,0.395
9,0.39,4.5,0.534
10,0.39,4.5,0.701
11,0.39,4.5,0.896
12,0.39,4.5,1.121
13,0.39,4.5,1.378
14,0.39,4.5,1.667
15,0.39,4.5,1.99
16,0.39,4.5,2.35
17,0.39,4.5,2.746
18,0.39,4.5,3.182
2,0.4,4.5,0.014
3,0.4,4.5,0.035
4,0.4,4.5,0.069
5,0.4,4.5,0.119
6,0.4,4.5,0.188
7,0.4,4.5,0.278
8,0.4,4.5,0.391
9,0.4,4.5,0.529
10,0.4,4.5,0.694
11,0.4,4.5,0.887
12,0.4,4.5,1.109
13,0.4,4.5,1.363
14,0.4,4.5,1.65
15,0.4,4.5,1.969
16,0.4,4.5,2.325
17,0.4,4.5,2.717
18,0.4,4.5,3.148
2,0.1,5,0.092
3,0.1,5,0.234
4,0.1,5,0.451
5,0.1,5,0.75
6,0.1,5,1.134
7,0.1,5,1.604
8,0.1,5,2.164
9,0.1,5,2.815
10,0.1,5,3.562
11,0.1,5,4.406
12,0.1,5,5.352
13,0.1,5,6.404
14,0.1,5,7.564
15,0.1,5,8.837
16,0.1,5,10.228
17,0.1,5,11.739
18,0.1,5,13.376
2,0.11,5,0.079
3,0.11,5,0.2
