Sqrt(A) (m),Rn,t (cm),Dmax (mm)
2,0.1,4,0.098
3,0.1,4,0.249
4,0.1,4,0.48
5,0.1,4,0.796
6,0.1,4,1.198
7,0.1,4,1.692
8,0.1,4,2.28
9,0.1,4,2.965
10,0.1,4,3.753
11,0.1,4,4.649
12,0.1,4,5.656
13,0.1,4,6.78
14,0.1,4,8.027
15,0.1,4,9.4
16,0.1,4,10.906
17,0.1,4,12.549
18,0.1,4,14.334
2,0.11,4,0.084
3,0.11,4,0.213
4,0.11,4,0.41
5,0.11,4,0.678
6,0.11,4,1.02
7,0.11,4,1.44
8,0.11,4,1.94
9,0.11,4,2.524
10,0.11,4,3.197
11,0.11,4,3.964
12,0.11,4,4.828
13,0.11,4,5.794
14,0.11,4,6.868
15,0.11,4,8.053
16,0.11,4,9.354
17,0.11,4,10.817
18,0.11,4,12.48
2,0.12,4,0.073
3,0.12,4,0.185
4,0.12,4,0.355
5,0.12,4,0.587
6,0.12,4,0.882
7,0.12,4,1.244
8,0.12,4,1.676
9,0.12,4,2.183
10,0.12,4,2.767
11,0.12,4,3.434
12,0.12,4,4.188
13,0.12,4,5.033
14,0.12,4,5.973
15,0.12,4,7.012
16,0.12,4,8.237
17,0.12,4,9.589
18,0.12,4,11.074
2,0.13,4,0.064
3,0.13,4,0.163
4,0.13,4,0.311
5,0.13,4,0.514
6,0.13,4,0.772
7,0.13,4,1.089
8,0.13,4,1.468
9,0.13,4,1.913
10,0.13,4,2.428
11,0.13,4,3.017
12,0.13,4,3.684
13,0.13,4,4.432
14,0.13,4,5.288
15,0.13,4,6.282
16,0.13,4,7.387
17,0.13,4,8.607
18,0.13,4,9.948
2,0.14,4,0.057
3,0.14,4,0.144
4,0.14,4,0.276
5,0.14,4,0.455
6,0.14,4,0.683
7,0.14,4,0.964
8,0.14,4,1.301
9,0.14,4,1.697
10,0.14,4,2.156
11,0.14,4,2.682
12,0.14,4,3.279
13,0.14,4,3.975
14,0.14,4,4.784
15,0.14,4,5.689
16,0.14,4,6.696
17,0.14,4,7.808
18,0.14,4,9.031
2,0.15,4,0.051
3,0.15,4,0.129
4,0.15,4,0.247
5,0.15,4,0.406
6,0.15,4,0.611
7,0.15,4,0.862
8,0.15,4,1.164
9,0.15,4,1.52
10,0.15,4,1.934
11,0.15,4,2.409
12,0.15,4,2.97
13,0.15,4,3.627
14,0.15,4,4.37
15,0.15,4,5.201
16,0.15,4,6.125
17,0.15,4,7.148
18,0.15,4,8.271
2,0.16,4,0.046
3,0.16,4,0.117
4,0.16,4,0.223
5,0.16,4,0.366
6,0.16,4,0.55
7,0.16,4,0.778
8,0.16,4,1.051
9,0.16,4,1.374
10,0.16,4,1.751
11,0.16,4,2.198
12,0.16,4,2.73
13,0.16,4,3.337
14,0.16,4,4.024
15,0.16,4,4.793
16,0.16,4,5.648
17,0.16,4,6.594
18,0.16,4,7.635
2,0.17,4,0.042
3,0.17,4,0.106
4,0.17,4,0.202
5,0.17,4,0.333
6,0.17,4,0.5
7,0.17,4,0.707
8,0.17,4,0.957
9,0.17,4,1.253
10,0.17,4,1.604
11,0.17,4,2.033
12,0.17,4,2.528
13,0.17,4,3.093
14,0.17,4,3.732
15,0.17,4,4.448
16,0.17,4,5.245
17,0.17,4,6.126
18,0.17,4,7.095
2,0.18,4,0.039
3,0.18,4,0.097
4,0.18,4,0.185
5,0.18,4,0.304
6,0.18,4,0.458
7,0.18,4,0.648
8,0.18,4,0.877
9,0.18,4,1.15
10,0.18,4,1.492
11,0.18,4,1.893
12,0.18,4,2.356
13,0.18,4,2.885
14,0.18,4,3.483
15,0.18,4,4.154
16,0.18,4,4.9
17,0.18,4,5.726
18,0.18,4,6.634
2,0.19,4,0.036
3,0.19,4,0.089
4,0.19,4,0.17
5,0.19,4,0.28
6,0.19,4,0.421
7,0.19,4,0.597
8,0.19,4,0.809
9,0.19,4,1.074
10,0.19,4,1.396
11,0.19,4,1.773
12,0.19,4,2.208
13,0.19,4,2.706
14,0.19,4,3.27
15,0.19,4,3.901
16,0.19,4,4.603
17,0.19,4,5.38
18,0.19,4,6.235
2,0.2,4,0.033
3,0.2,4,0.083
4,0.2,4,0.157
5,0.2,4,0.259
6,0.2,4,0.39
7,0.2,4,0.553
8,0.2,4,0.754
9,0.2,4,1.009
10,0.2,4,1.313
11,0.2,4,1.67
12,0.2,4,2.081
13,0.2,4,2.552
14,0.2,4,3.084
15,0.2,4,3.681
16,0.2,4,4.346
17,0.2,4,5.08
18,0.2,4,5.889
2,0.21,4,0.031
3,0.21,4,0.077
4,0.21,4,0.146
5,0.21,4,0.241
6,0.21,4,0.363
7,0.21,4,0.516
8,0.21,4,0.711
9,0.21,4,0.953
10,0.21,4,1.242
11,0.21,4,1.58
12,0.21,4,1.971
13,0.21,4,2.417
14,0.21,4,2.923
15,0.21,4,3.49
16,0.21,4,4.121
17,0.21,4,4.818
18,0.21,4,5.586
2,0.22,4,0.029
3,0.22,4,0.072
4,0.22,4,0.137
5,0.22,4,0.225
6,0.22,4,0.34
7,0.22,4,0.484
8,0.22,4,0.674
9,0.22,4,0.904
10,0.22,4,1.179
11,0.22,4,1.501
12,0.22,4,1.874
13,0.22,4,2.3
14,0.22,4,2.781
15,0.22,4,3.322
16,0.22,4,3.923
17,0.22,4,4.588
18,0.22,4,5.319
2,0.23,4,0.027
3,0.23,4,0.068
4,0.23,4,0.128
5,0.23,4,0.211
6,0.23,4,0.319
7,0.23,4,0.46
8,0.23,4,0.641
9,0.23,4,0.861
10,0.23,4,1.124
11,0.23,4,1.432
12,0.23,4,1.789
13,0.23,4,2.196
14,0.23,4,2.657
15,0.23,4,3.173
16,0.23,4,3.748
17,0.23,4,4.384
18,0.23,4,5.084
2,0.24,4,0.026
3,0.24,4,0.064
4,0.24,4,0.121
5,0.24,4,0.199
6,0.24,4,0.301
7,0.24,4,0.439
8,0.24,4,0.613
9,0.24,4,0.824
10,0.24,4,1.076
11,0.24,4,1.371
12,0.24,4,1.714
13,0.24,4,2.104
14,0.24,4,2.546
15,0.24,4,3.042
16,0.24,4,3.594
17,0.24,4,4.204
18,0.24,4,4.875
2,0.25,4,0.024
3,0.25,4,0.06
4,0.25,4,0.114
5,0.25,4,0.189
6,0.25,4,0.288
7,0.25,4,0.421
8,0.25,4,0.587
9,0.25,4,0.791
10,0.25,4,1.033
11,0.25,4,1.318
12,0.25,4,1.647
13,0.25,4,2.023
14,0.25,4,2.448
15,0.25,4,2.925
16,0.25,4,3.456
17,0.25,4,4.043
18,0.25,4,4.689
2,0.26,4,0.023
3,0.26,4,0.057
4,0.26,4,0.108
5,0.26,4,0.179
6,0.26,4,0.276
7,0.26,4,0.404
8,0.26,4,0.565
9,0.26,4,0.761
10,0.26,4,0.995
