Sqrt(A) (m),Rn,t (cm),Dmax (mm)
9,0.15,4,1.399
10,0.15,4,1.802
11,0.15,4,2.272
12,0.15,4,2.811
13,0.15,4,3.425
14,0.15,4,4.118
15,0.15,4,4.894
16,0.15,4,5.757
17,0.15,4,6.711
18,0.15,4,7.76
2,0.16,4,0.042
3,0.16,4,0.103
4,0.16,4,0.192
5,0.16,4,0.32
6,0.16,4,0.489
7,0.16,4,0.702
8,0.16,4,0.963
9,0.16,4,1.277
10,0.16,4,1.649
11,0.16,4,2.081
12,0.16,4,2.578
13,0.16,4,3.145
14,0.16,4,3.786
15,0.16,4,4.503
16,0.16,4,5.303
17,0.16,4,6.187
18,0.16,4,7.16
2,0.17,4,0.038
3,0.17,4,0.093
4,0.17,4,0.175
5,0.17,4,0.293
6,0.17,4,0.448
7,0.17,4,0.644
8,0.17,4,0.885
9,0.17,4,1.176
10,0.17,4,1.52
11,0.17,4,1.921
12,0.17,4,2.383
13,0.17,4,2.91
14,0.17,4,3.506
15,0.17,4,4.175
16,0.17,4,4.921
17,0.17,4,5.746
18,0.17,4,6.655
2,0.18,4,0.035
3,0.18,4,0.085
4,0.18,4,0.161
5,0.18,4,0.27
6,0.18,4,0.413
7,0.18,4,0.595
8,0.18,4,0.819
9,0.18,4,1.09
10,0.18,4,1.41
11,0.18,4,1.785
12,0.18,4,2.217
13,0.18,4,2.71
14,0.18,4,3.269
15,0.18,4,3.897
16,0.18,4,4.596
17,0.18,4,5.371
18,0.18,4,6.225
2,0.19,4,0.032
3,0.19,4,0.078
4,0.19,4,0.149
5,0.19,4,0.25
6,0.19,4,0.384
7,0.19,4,0.553
8,0.19,4,0.763
9,0.19,4,1.016
10,0.19,4,1.317
11,0.19,4,1.669
12,0.19,4,2.075
13,0.19,4,2.54
14,0.19,4,3.066
15,0.19,4,3.658
16,0.19,4,4.318
17,0.19,4,5.05
18,0.19,4,5.856
2,0.2,4,0.03
3,0.2,4,0.072
4,0.2,4,0.139
5,0.2,4,0.233
6,0.2,4,0.358
7,0.2,4,0.517
8,0.2,4,0.715
9,0.2,4,0.953
10,0.2,4,1.237
11,0.2,4,1.569
12,0.2,4,1.953
13,0.2,4,2.393
14,0.2,4,2.892
15,0.2,4,3.452
16,0.2,4,4.079
17,0.2,4,4.773
18,0.2,4,5.537
2,0.21,4,0.028
3,0.21,4,0.067
4,0.21,4,0.13
5,0.21,4,0.219
6,0.21,4,0.336
7,0.21,4,0.486
8,0.21,4,0.673
9,0.21,4,0.898
10,0.21,4,1.167
11,0.21,4,1.482
12,0.21,4,1.847
13,0.21,4,2.265
14,0.21,4,2.74
15,0.21,4,3.274
16,0.21,4,3.87
17,0.21,4,4.532
18,0.21,4,5.26
2,0.22,4,0.026
3,0.22,4,0.063
4,0.22,4,0.122
5,0.22,4,0.206
6,0.22,4,0.317
7,0.22,4,0.459
8,0.22,4,0.636
9,0.22,4,0.851
10,0.22,4,1.107
11,0.22,4,1.407
12,0.22,4,1.755
13,0.22,4,2.154
14,0.22,4,2.608
15,0.22,4,3.118
16,0.22,4,3.689
17,0.22,4,4.321
18,0.22,4,5.018
2,0.23,4,0.024
3,0.23,4,0.059
4,0.23,4,0.115
5,0.23,4,0.195
6,0.23,4,0.3
7,0.23,4,0.436
8,0.23,4,0.604
9,0.23,4,0.809
10,0.23,4,1.053
11,0.23,4,1.341
12,0.23,4,1.674
13,0.23,4,2.057
14,0.23,4,2.492
15,0.23,4,2.982
16,0.23,4,3.529
17,0.23,4,4.137
18,0.23,4,4.806
2,0.24,4,0.023
3,0.24,4,0.056
4,0.24,4,0.109
5,0.24,4,0.185
6,0.24,4,0.286
7,0.24,4,0.415
8,0.24,4,0.576
9,0.24,4,0.772
10,0.24,4,1.007
11,0.24,4,1.283
12,0.24,4,1.603
13,0.24,4,1.972
14,0.24,4,2.39
15,0.24,4,2.862
16,0.24,4,3.389
17,0.24,4,3.974
18,0.24,4,4.618
2,0.25,4,0.022
3,0.25,4,0.053
4,0.25,4,0.104
5,0.25,4,0.176
6,0.25,4,0.273
7,0.25,4,0.396
8,0.25,4,0.551
9,0.25,4,0.74
10,0.25,4,0.966
11,0.25,4,1.232
12,0.25,4,1.541
13,0.25,4,1.896
14,0.25,4,2.3
15,0.25,4,2.756
16,0.25,4,3.265
17,0.25,4,3.83
18,0.25,4,4.453
2,0.26,4,0.021
3,0.26,4,0.051
4,0.26,4,0.099
5,0.26,4,0.168
6,0.26,4,0.261
7,0.26,4,0.38
8,0.26,4,0.529
9,0.26,4,0.711
10,0.26,4,0.929
11,0.26,4,1.186
12,0.26,4,1.485
13,0.26,4,1.829
14,0.26,4,2.221
15,0.26,4,2.662
16,0.26,4,3.155
17,0.26,4,3.702
18,0.26,4,4.305
2,0.27,4,0.02
3,0.27,4,0.049
4,0.27,4,0.095
5,0.27,4,0.162
6,0.27,4,0.251
7,0.27,4,0.366
8,0.27,4,0.51
9,0.27,4,0.686
10,0.27,4,0.897
11,0.27,4,1.146
12,0.27,4,1.436
13,0.27,4,1.77
14,0.27,4,2.15
15,0.27,4,2.578
16,0.27,4,3.057
17,0.27,4,3.589
18,0.27,4,4.175
2,0.28,4,0.019
3,0.28,4,0.047
4,0.28,4,0.092
5,0.28,4,0.155
6,0.28,4,0.242
7,0.28,4,0.353
8,0.28,4,0.492
9,0.28,4,0.663
10,0.28,4,0.868
11,0.28,4,1.11
12,0.28,4,1.392
13,0.28,4,1.717
14,0.28,4,2.087
15,0.28,4,2.504
16,0.28,4,2.97
17,0.28,4,3.488
18,0.28,4,4.058
2,0.29,4,0.018
3,0.29,4,0.045
4,0.29,4,0.088
5,0.29,4,0.15
6,0.29,4,0.233
7,0.29,4,0.341
8,0.29,4,0.477
9,0.29,4,0.642
10,0.29,4,0.842
11,0.29,4,1.078
12,0.29,4,1.353
13,0.29,4,1.669
14,0.29,4,2.03
15,0.29,4,2.437
16,0.29,4,2.893
17,0.29,4,3.398
18,0.29,4,3.954
2,0.3,4,0.017
3,0.3,4,0.043
4,0.3,4,0.085
5,0.3,4,0.145
6,0.3,4,0.226
7,0.3,4,0.331
8,0.3,4,0.463
9,0.3,4,0.624
10,0.3,4,0.819
11,0.3,4,1.049
12,0.3,4,1.318
13,0.3,4,1.627
14,0.3,4,1.98
15,0.3,4,2.378
16,0.3,4,2.823
17,0.3,4,3.317
18,0.3,4,3.861
2,0.31,4,0.017
3,0.31,4,0.042
4,0.31,4,0.083
5,0.31,4,0.141
6,0.31,4,0.219
7,0.31,4,0.321
8,0.31,4,0.45
9,0.31,4,0.608
10,0.31,4,0.798
11,0.31,4,1.023
12,0.31,4,1.286
13,0.31,4,1.59
14,0.31,4,1.935
15,0.31,4,2.325
16,0.31,4,2.761
17,0.31,4,3.245
18,0.31,4,3.778
2,0.32,4,0.016
3,0.32,4,0.041
4,0.32,4,0.08
5,0.32,4,0.137
6,0.32,4,0.213
7,0.32,4,0.313
8,0.32,4,0.439
9,0.32,4,0.593
10,0.32,4,0.78
11,0.32,4,1
12,0.32,4,1.258
13,0.32,4,1.556
14,0.32,4,1.895
15,0.32,4,2.278
16,0.32,4,2.706
17,0.32,4,3.181
18,0.32,4,3.704
2,0.33,4,0.016
3,0.33,4,0.04
4,0.33,4,0.078
5,0.33,4,0.133
6,0.33,4,0.208
7,0.33,4,0.306
8,0.33,4,0.429
9,0.33,4,0.58
10,0.33,4,0.763
11,0.33,4,0.98
12,0.33,4,1.233
13,0.33,4,1.526
14,0.33,4,1.859
15,0.33,4,2.235
16,0.33,4,2.657
17,0.33,4,3.124
18,0.33,4,3.638
2,0.34,4,0.015
3,0.34,4,0.039
4,0.34,4,0.076
5,0.34,4,0.13
6,0.34,4,0.203
7,0.34,4,0.299
8,0.34,4,0.42
9,0.34,4,0.568
10,0.34,4,0.748
11,0.34,4,0.961
12,0.34,4,1.211
13,0.34,4,1.499
14,0.34,4,1.827
15,0.34,4,2.198
16,0.34,4,2.612
17,0.34,4,3.072
18,0.34,4,3.579
2,0.35,4,0.015
3,0.35,4,0.038
4,0.35,4,0.074
5,0.35,4,0.127
6,0.35,4,0.199
7,0.35,4,0.293
8,0.35,4,0.411
9,0.35,4,0.558
10,0.35,4,0.735
11,0.35,4,0.945
12,0.35,4,1.19
13,0.35,4,1.474
14,0.35,4,1.798
15,0.35,4,2.164
16,0.35,4,2.573
17,0.35,4,3.027
18,0.35,4,3.526
2,0.36,4,0.014
3,0.36,4,0.037
4,0.36,4,0.073
5,0.36,4,0.124
6,0.36,4,0.195
7,0.36,4,0.287
8,0.36,4,0.404
9,0.36,4,0.548
10,0.36,4,0.723
11,0.36,4,0.93
12,0.36,4,1.172
13,0.36,4,1.453
14,0.36,4,1.772
15,0.36,4,2.134
16,0.36,4,2.538
17,0.36,4,2.986
18,0.36,4,3.479
2,0.37,4,0.014
3,0.37,4,0.036
4,0.37,4,0.071
5,0.37,4,0.122
6,0.37,4,0.191
7,0.37,4,0.282
8,0.37,4,0.397
9,0.37,4,0.54
10,0.37,4,0.712
11,0.37,4,0.916
12,0.37,4,1.156
13,0.37,4,1.433
14,0.37,4,1.75
15,0.37,4,2.107
16,0.37,4,2.506
17,0.37,4,2.95
18,0.37,4,3.438
2,0.38,4,0.014
3,0.38,4,0.035
4,0.38,4,0.07
5,0.38,4,0.12
6,0.38,4,0.188
7,0.38,4,0.278
8,0.38,4,0.391
9,0.38,4,0.532
10,0.38,4,0.702
11,0.38,4,0.905
12,0.38,4,1.142
13,0.38,4,1.416
14,0.38,4,1.729
15,0.38,4,2.083
16,0.38,4,2.479
17,0.38,4,2.918
18,0.38,4,3.401
2,0.39,4,0.014
3,0.39,4,0.035
4,0.39,4,0.069
5,0.39,4,0.118
6,0.39,4,0.185
7,0.39,4,0.274
8,0.39,4,0.386
9,0.39,4,0.525
10,0.39,4,0.693
11,0.39,4,0.894
12,0.39,4,1.129
13,0.39,4,1.401
14,0.39,4,1.711
15,0.39,4,2.062
16,0.39,4,2.454
17,0.39,4,2.89
18,0.39,4,3.369
2,0.4,4,0.013
3,0.4,4,0.034
4,0.4,4,0.068
5,0.4,4,0.116
6,0.4,4,0.183
7,0.4,4,0.27
8,0.4,4,0.381
9,0.4,4,0.519
10,0.4,4,0.686
11,0.4,4,0.885
12,0.4,4,1.118
13,0.4,4,1.387
14,0.4,4,1.695
15,0.4,4,2.043
16,0.4,4,2.433
17,0.4,4,2.865
18,0.4,4,3.341
2,0.1,4.5,0.087
3,0.1,4.5,0.218
4,0.1,4.5,0.413
5,0.1,4.5,0.677
6,0.1,4.5,1.009
7,0.1,4.5,1.409
8,0.1,4.5,1.901
9,0.1,4.5,2.493
10,0.1,4.5,3.181
11,0.1,4.5,3.971
12,0.1,4.5,4.869
13,0.1,4.5,5.88
14,0.1,4.5,7.011
15,0.1,4.5,8.265
16,0.1,4.5,9.65
17,0.1,4.5,11.17
18,0.1,4.5,12.831
2,0.11,4.5,0.075
3,0.11,4.5,0.185
4,0.11,4.5,0.352
5,0.11,4.5,0.574
6,0.11,4.5,0.854
7,0.11,4.5,1.2
8,0.11,4.5,1.631
9,0.11,4.5,2.141
10,0.11,4.5,2.736
11,0.11,4.5,3.421
12,0.11,4.5,4.201
13,0.11,4.5,5.08
14,0.11,4.5,6.065
15,0.11,4.5,7.16
16,0.11,4.5,8.371
17,0.11,4.5,9.701
18,0.11,4.5,11.157
2,0.12,4.5,0.065
3,0.12,4.5,0.16
4,0.12,4.5,0.304
5,0.12,4.5,0.495
6,0.12,4.5,0.735
7,0.12,4.5,1.044
8,0.12,4.5,1.421
9,0.12,4.5,1.868
10,0.12,4.5,2.391
11,0.12,4.5,2.994
12,0.12,4.5,3.682
13,0.12,4.5,4.459
14,0.12,4.5,5.331
15,0.12,4.5,6.301
16,0.12,4.5,7.375
17,0.12,4.5,8.558
18,0.12,4.5,9.853
2,0.13,4.5,0.057
3,0.13,4.5,0.141
4,0.13,4.5,0.265
5,0.13,4.5,0.432
6,0.13,4.5,0.646
7,0.13,4.5,0.921
8,0.13,4.5,1.255
9,0.13,4.5,1.653
10,0.13,4.5,2.118
11,0.13,4.5,2.656
12,0.13,4.5,3.271
13,0.13,4.5,3.967
14,0.13,4.5,4.748
15,0.13,4.5,5.619
16,0.13,4.5,6.585
17,0.13,4.5,7.649
18,0.13,4.5,8.816
2,0.14,4.5,0.05
3,0.14,4.5,0.124
4,0.14,4.5,0.235
5,0.14,4.5,0.381
6,0.14,4.5,0.576
7,0.14,4.5,0.822
8,0.14,4.5,1.122
9,0.14,4.5,1.479
10,0.14,4.5,1.898
11,0.14,4.5,2.384
12,0.14,4.5,2.939
13,0.14,4.5,3.569
14,0.14,4.5,4.277
15,0.14,4.5,5.068
16,0.14,4.5,5.945
17,0.14,4.5,6.913
18,0.14,4.5,7.976
2,0.15,4.5,0.045
3,0.15,4.5,0.111
4,0.15,4.5,0.209
5,0.15,4.5,0.341
6,0.15,4.5,0.518
7,0.15,4.5,0.741
8,0.15,4.5,1.012
9,0.15,4.5,1.337
10,0.15,4.5,1.718
11,0.15,4.5,2.161
12,0.15,4.5,2.668
13,0.15,4.5,3.243
14,0.15,4.5,3.891
15,0.15,4.5,4.616
16,0.15,4.5,5.421
17,0.15,4.5,6.309
18,0.15,4.5,7.286
2,0.16,4.5,0.041
3,0.16,4.5,0.1
4,0.16,4.5,0.188
5,0.16,4.5,0.309
6,0.16,4.5,0.471
7,0.16,4.5,0.674
8,0.16,4.5,0.922
9,0.16,4.5,1.219
10,0.16,4.5,1.569
11,0.16,4.5,1.976
12,0.16,4.5,2.442
13,0.16,4.5,2.973
14,0.16,4.5,3.571
15,0.16,4.5,4.24
16,0.16,4.5,4.984
17,0.16,4.5,5.807
18,0.16,4.5,6.711
2,0.17,4.5,0.037
3,0.17,4.5,0.091
4,0.17,4.5,0.171
5,0.17,4.5,0.283
6,0.17,4.5,0.431
7,0.17,4.5,0.617
8,0.17,4.5,0.846
9,0.17,4.5,1.12
10,0.17,4.5,1.444
11,0.17,4.5,1.82
12,0.17,4.5,2.253
13,0.17,4.5,2.746
14,0.17,4.5,3.302
15,0.17,4.5,3.924
16,0.17,4.5,4.618
17,0.17,4.5,5.384
18,0.17,4.5,6.228
2,0.18,4.5,0.034
3,0.18,4.5,0.083
4,0.18,4.5,0.156
5,0.18,4.5,0.26
6,0.18,4.5,0.397
7,0.18,4.5,0.57
8,0.18,4.5,0.782
9,0.18,4.5,1.037
10,0.18,4.5,1.338
11,0.18,4.5,1.689
12,0.18,4.5,2.093
13,0.18,4.5,2.553
14,0.18,4.5,3.073
15,0.18,4.5,3.657
16,0.18,4.5,4.306
17,0.18,4.5,5.025
18,0.18,4.5,5.817
2,0.19,4.5,0.031
3,0.19,4.5,0.077
4,0.19,4.5,0.144
5,0.19,4.5,0.241
6,0.19,4.5,0.368
7,0.19,4.5,0.529
8,0.19,4.5,0.727
9,0.19,4.5,0.966
10,0.19,4.5,1.248
11,0.19,4.5,1.577
12,0.19,4.5,1.956
13,0.19,4.5,2.389
14,0.19,4.5,2.878
15,0.19,4.5,3.428
16,0.19,4.5,4.04
17,0.19,4.5,4.718
18,0.19,4.5,5.465
2,0.2,4.5,0.029
3,0.2,4.5,0.071
4,0.2,4.5,0.134
5,0.2,4.5,0.224
6,0.2,4.5,0.343
7,0.2,4.5,0.494
8,0.2,4.5,0.68
9,0.2,4.5,0.904
10,0.2,4.5,1.17
11,0.2,4.5,1.48
12,0.2,4.5,1.838
13,0.2,4.5,2.247
14,0.2,4.5,2.71
15,0.2,4.5,3.23
16,0.2,4.5,3.81
17,0.2,4.5,4.453
18,0.2,4.5,5.162
2,0.21,4.5,0.027
3,0.21,4.5,0.066
4,0.21,4.5,0.125
5,0.21,4.5,0.21
6,0.21,4.5,0.322
7,0.21,4.5,0.464
8,0.21,4.5,0.64
9,0.21,4.5,0.851
10,0.21,4.5,1.103
11,0.21,4.5,1.397
12,0.21,4.5,1.736
13,0.21,4.5,2.125
14,0.21,4.5,2.565
15,0.21,4.5,3.059
16,0.21,4.5,3.611
17,0.21,4.5,4.224
18,0.21,4.5,4.898
2,0.22,4.5,0.025
3,0.22,4.5,0.061
4,0.22,4.5,0.118
5,0.22,4.5,0.198
6,0.22,4.5,0.303
7,0.22,4.5,0.438
8,0.22,4.5,0.604
9,0.22,4.5,0.805
10,0.22,4.5,1.044
11,0.22,4.5,1.324
12,0.22,4.5,1.647
13,0.22,4.5,2.018
14,0.22,4.5,2.438
15,0.22,4.5,2.91
16,0.22,4.5,3.438
17,0.22,4.5,4.023
18,0.22,4.5,4.669
2,0.23,4.5,0.024
3,0.23,4.5,0.058
4,0.23,4.5,0.111
5,0.23,4.5,0.187
6,0.23,4.5,0.287
7,0.23,4.5,0.415
8,0.23,4.5,0.573
9,0.23,4.5,0.765
10,0.23,4.5,0.993
11,0.23,4.5,1.26
12,0.23,4.5,1.569
13,0.23,4.5,1.924
14,0.23,4.5,2.327
15,0.23,4.5,2.78
16,0.23,4.5,3.286
17,0.23,4.5,3.847
18,0.23,4.5,4.467
2,0.24,4.5,0.022
3,0.24,4.5,0.054
4,0.24,4.5,0.105
5,0.24,4.5,0.177
6,0.24,4.5,0.273
7,0.24,4.5,0.395
8,0.24,4.5,0.546
9,0.24,4.5,0.729
10,0.24,4.5,0.947
11,0.24,4.5,1.204
12,0.24,4.5,1.501
13,0.24,4.5,1.842
14,0.24,4.5,2.229
15,0.24,4.5,2.665
16,0.24,4.5,3.152
17,0.24,4.5,3.693
18,0.24,4.5,4.289
2,0.25,4.5,0.021
3,0.25,4.5,0.052
4,0.25,4.5,0.1
5,0.25,4.5,0.169
6,0.25,4.5,0.26
7,0.25,4.5,0.377
8,0.25,4.5,0.522
9,0.25,4.5,0.698
10,0.25,4.5,0.908
11,0.25,4.5,1.154
12,0.25,4.5,1.441
13,0.25,4.5,1.769
14,0.25,4.5,2.142
15,0.25,4.5,2.563
16,0.25,4.5,3.034
17,0.25,4.5,3.556
18,0.25,4.5,4.132
2,0.26,4.5,0.02
3,0.26,4.5,0.049
4,0.26,4.5,0.096
5,0.26,4.5,0.161
6,0.26,4.5,0.249
7,0.26,4.5,0.361
8,0.26,4.5,0.5
9,0.26,4.5,0.67
10,0.26,4.5,0.872
11,0.26,4.5,1.11
12,0.26,4.5,1.387
13,0.26,4.5,1.705
14,0.26,4.5,2.066
15,0.26,4.5,2.473
16,0.26,4.5,2.929
17,0.26,4.5,3.435
18,0.26,4.5,3.993
2,0.27,4.5,0.019
3,0.27,4.5,0.047
4,0.27,4.5,0.092
5,0.27,4.5,0.155
6,0.27,4.5,0.239
7,0.27,4.5,0.347
8,0.27,4.5,0.481
9,0.27,4.5,0.645
10,0.27,4.5,0.841
11,0.27,4.5,1.071
12,0.27,4.5,1.339
13,0.27,4.5,1.647
14,0.27,4.5,1.998
15,0.27,4.5,2.393
16,0.27,4.5,2.836
17,0.27,4.5,3.327
18,0.27,4.5,3.869
2,0.28,4.5,0.018
3,0.28,4.5,0.045
4,0.28,4.5,0.088
5,0.28,4.5,0.149
6,0.28,4.5,0.23
7,0.28,4.5,0.334
8,0.28,4.5,0.464
9,0.28,4.5,0.623
10,0.28,4.5,0.813
11,0.28,4.5,1.037
12,0.28,4.5,1.297
13,0.28,4.5,1.596
14,0.28,4.5,1.937
15,0.28,4.5,2.322
16,0.28,4.5,2.753
17,0.28,4.5,3.231
18,0.28,4.5,3.759
2,0.29,4.5,0.018
3,0.29,4.5,0.043
4,0.29,4.5,0.085
5,0.29,4.5,0.143
6,0.29,4.5,0.222
7,0.29,4.5,0.323
8,0.29,4.5,0.449
9,0.29,4.5,0.603
10,0.29,4.5,0.788
11,0.29,4.5,1.006
12,0.29,4.5,1.259
13,0.29,4.5,1.551
14,0.29,4.5,1.884
15,0.29,4.5,2.259
16,0.29,4.5,2.679
17,0.29,4.5,3.146
18,0.29,4.5,3.661
2,0.3,4.5,0.017
3,0.3,4.5,0.042
4,0.3,4.5,0.082
5,0.3,4.5,0.138
6,0.3,4.5,0.215
7,0.3,4.5,0.313
8,0.3,4.5,0.435
9,0.3,4.5,0.585
10,0.3,4.5,0.765
11,0.3,4.5,0.978
12,0.3,4.5,1.225
13,0.3,4.5,1.51
14,0.3,4.5,1.835
15,0.3,4.5,2.202
16,0.3,4.5,2.613
17,0.3,4.5,3.07
18,0.3,4.5,3.573
2,0.31,4.5,0.016
3,0.31,4.5,0.041
4,0.31,4.5,0.079
5,0.31,4.5,0.134
6,0.31,4.5,0.208
7,0.31,4.5,0.304
8,0.31,4.5,0.423
9,0.31,4.5,0.57
10,0.31,4.5,0.745
11,0.31,4.5,0.953
12,0.31,4.5,1.195
13,0.31,4.5,1.474
14,0.31,4.5,1.792
15,0.31,4.5,2.152
16,0.31,4.5,2.554
17,0.31,4.5,3.001
18,0.31,4.5,3.495
2,0.32,4.5,0.016
3,0.32,4.5,0.039
4,0.32,4.5,0.077
5,0.32,4.5,0.13
6,0.32,4.5,0.202
7,0.32,4.5,0.296
8,0.32,4.5,0.412
9,0.32,4.5,0.555
10,0.32,4.5,0.727
11,0.32,4.5,0.931
12,0.32,4.5,1.168
13,0.32,4.5,1.441
14,0.32,4.5,1.754
15,0.32,4.5,2.106
16,0.32,4.5,2.501
17,0.32,4.5,2.94
18,0.32,4.5,3.425
2,0.33,4.5,0.015
3,0.33,4.5,0.038
4,0.33,4.5,0.075
5,0.33,4.5,0.127
6,0.33,4.5,0.197
7,0.33,4.5,0.288
8,0.33,4.5,0.402
9,0.33,4.5,0.542
10,0.33,4.5,0.711
11,0.33,4.5,0.911
12,0.33,4.5,1.144
13,0.33,4.5,1.412
14,0.33,4.5,1.719
15,0.33,4.5,2.066
16,0.33,4.5,2.454
17,0.33,4.5,2.886
18,0.33,4.5,3.362
2,0.34,4.5,0.015
3,0.34,4.5,0.037
4,0.34,4.5,0.073
5,0.34,4.5,0.124
6,0.34,4.5,0.192
7,0.34,4.5,0.282
8,0.34,4.5,0.394
9,0.34,4.5,0.531
10,0.34,4.5,0.696
11,0.34,4.5,0.893
12,0.34,4.5,1.122
13,0.34,4.5,1.386
14,0.34,4.5,1.688
15,0.34,4.5,2.029
16,0.34,4.5,2.412
17,0.34,4.5,2.837
18,0.34,4.5,3.306
2,0.35,4.5,0.014
3,0.35,4.5,0.036
4,0.35,4.5,0.071
5,0.35,4.5,0.121
6,0.35,4.5,0.188
7,0.35,4.5,0.276
8,0.35,4.5,0.385
9,0.35,4.5,0.521
10,0.35,4.5,0.683
11,0.35,4.5,0.876
12,0.35,4.5,1.102
13,0.35,4.5,1.363
14,0.35,4.5,1.66
15,0.35,4.5,1.997
16,0.35,4.5,2.374
17,0.35,4.5,2.793
18,0.35,4.5,3.256
2,0.36,4.5,0.014
3,0.36,4.5,0.035
4,0.36,4.5,0.069
5,0.36,4.5,0.118
6,0.36,4.5,0.184
7,0.36,4.5,0.27
8,0.36,4.5,0.378
9,0.36,4.5,0.511
10,0.36,4.5,0.672
11,0.36,4.5,0.862
12,0.36,4.5,1.085
13,0.36,4.5,1.342
14,0.36,4.5,1.635
15,0.36,4.5,1.968
16,0.36,4.5,2.34
17,0.36,4.5,2.754
18,0.36,4.5,3.212
2,0.37,4.5,0.014
3,0.37,4.5,0.035
4,0.37,4.5,0.068
5,0.37,4.5,0.116
6,0.37,4.5,0.181
7,0.37,4.5,0.265
8,0.37,4.5,0.372
9,0.37,4.5,0.503
10,0.37,4.5,0.661
11,0.37,4.5,0.849
12,0.37,4.5,1.069
13,0.37,4.5,1.323
14,0.37,4.5,1.613
15,0.37,4.5,1.942
16,0.37,4.5,2.31
17,0.37,4.5,2.72
18,0.37,4.5,3.172
2,0.38,4.5,0.013
3,0.38,4.5,0.034
4,0.38,4.5,0.067
5,0.38,4.5,0.114
6,0.38,4.5,0.178
7,0.38,4.5,0.261
8,0.38,4.5,0.366
9,0.38,4.5,0.495
10,0.38,4.5,0.652
11,0.38,4.5,0.837
12,0.38,4.5,1.055
13,0.38,4.5,1.306
14,0.38,4.5,1.593
15,0.38,4.5,1.919
16,0.38,4.5,2.283
17,0.38,4.5,2.689
18,0.38,4.5,3.137
2,0.39,4.5,0.013
3,0.39,4.5,0.033
4,0.39,4.5,0.066
5,0.39,4.5,0.112
6,0.39,4.5,0.175
7,0.39,4.5,0.257
8,0.39,4.5,0.361
9,0.39,4.5,0.488
10,0.39,4.5,0.643
11,0.39,4.5,0.827
12,0.39,4.5,1.042
13,0.39,4.5,1.291
14,0.39,4.5,1.576
15,0.39,4.5,1.898
16,0.39,4.5,2.26
17,0.39,4.5,2.662
18,0.39,4.5,3.106
2,0.4,4.5,0.013
3,0.4,4.5,0.033
4,0.4,4.5,0.065
5,0.4,4.5,0.11
6,0.4,4.5,0.172
7,0.4,4.5,0.253
8,0.4,4.5,0.356
9,0.4,4.5,0.482
10,0.4,4.5,0.635
11,0.4,4.5,0.817
12,0.4,4.5,1.031
13,0.4,4.5,1.278
14,0.4,4.5,1.56
15,0.4,4.5,1.88
16,0.4,4.5,2.239
17,0.4,4.5,2.638
18,0.4,4.5,3.079
2,0.1,5,0.085
3,0.1,5,0.212
4,0.1,5,0.404
5,0.1,5,0.662
6,0.1,5,0.989
7,0.1,5,1.384
8,0.1,5,1.848
9,0.1,5,2.415
10,0.1,5,3.077
11,0.1,5,3.836
12,0.1,5,4.697
13,0.1,5,5.664
14,0.1,5,6.743
15,0.1,5,7.939
16,0.1,5,9.256
17,0.1,5,10.7
18,0.1,5,12.275
2,0.11,5,0.073
3,0.11,5,0.181
4,0.11,5,0.344
