Sqrt(A) (m),Rn,t (cm),Dmax (mm)
2,0.1,4,0.09
3,0.1,4,0.224
4,0.1,4,0.424
5,0.1,4,0.692
6,0.1,4,1.029
7,0.1,4,1.449
8,0.1,4,1.969
9,0.1,4,2.587
10,0.1,4,3.307
11,0.1,4,4.136
12,0.1,4,5.081
13,0.1,4,6.147
14,0.1,4,7.341
15,0.1,4,8.669
16,0.1,4,10.138
17,0.1,4,11.752
18,0.1,4,13.519
2,0.11,4,0.077
3,0.11,4,0.191
4,0.11,4,0.36
5,0.11,4,0.587
6,0.11,4,0.873
7,0.11,4,1.243
8,0.11,4,1.692
9,0.11,4,2.225
10,0.11,4,2.85
11,0.11,4,3.57
12,0.11,4,4.393
13,0.11,4,5.323
14,0.11,4,6.366
15,0.11,4,7.528
16,0.11,4,8.815
17,0.11,4,10.232
18,0.11,4,11.785
2,0.12,4,0.067
3,0.12,4,0.165
4,0.12,4,0.311
5,0.12,4,0.505
6,0.12,4,0.759
7,0.12,4,1.083
8,0.12,4,1.476
9,0.12,4,1.945
10,0.12,4,2.495
11,0.12,4,3.131
12,0.12,4,3.858
13,0.12,4,4.682
14,0.12,4,5.607
15,0.12,4,6.64
16,0.12,4,7.785
17,0.12,4,9.047
18,0.12,4,10.432
2,0.13,4,0.058
3,0.13,4,0.144
4,0.13,4,0.271
5,0.13,4,0.441
6,0.13,4,0.669
7,0.13,4,0.956
8,0.13,4,1.306
9,0.13,4,1.724
10,0.13,4,2.214
11,0.13,4,2.783
12,0.13,4,3.434
13,0.13,4,4.173
14,0.13,4,5.005
15,0.13,4,5.934
16,0.13,4,6.966
17,0.13,4,8.104
18,0.13,4,9.354
2,0.14,4,0.052
3,0.14,4,0.128
4,0.14,4,0.24
5,0.14,4,0.392
6,0.14,4,0.597
7,0.14,4,0.854
8,0.14,4,1.169
9,0.14,4,1.545
10,0.14,4,1.988
11,0.14,4,2.502
12,0.14,4,3.092
13,0.14,4,3.762
14,0.14,4,4.518
15,0.14,4,5.363
16,0.14,4,6.302
17,0.14,4,7.339
18,0.14,4,8.48
2,0.15,4,0.046
3,0.15,4,0.114
4,0.15,4,0.214
5,0.15,4,0.353
6,0.15,4,0.538
7,0.15,4,0.771
8,0.15,4,1.056
